dataset,sparsity,explainer_name,hard_mask,num_test,f1_score,recall,precision,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn3,0.997,pgmexplainer,True,100.0,0.5456753246753246,0.45500000000000007,0.6815833333333333,0.0,0.0,0.007488974370062351,-0.0012852716026827693,0.9970473647117615,15.0,5.2702,5080.0,0.9258858267716538,376.5
syn3,0.997,random,False,100.0,0.005925925925925926,0.006666666666666666,0.005333333333333334,0.0,0.0,-0.00012260257790330797,0.010216278955340385,0.9970473647117615,15.0,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,0.997,random,True,100.0,0.005925925925925926,0.006666666666666666,0.005333333333333334,0.0,0.0,-0.000122661585919559,0.010216278955340385,0.9970473647117615,15.0,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,0.997,sa,False,100.0,0.0,0.0,0.0,0.0,0.0,-5.159974080015672e-06,0.010216278955340385,0.9970473647117615,15.0,0.0032,5080.0,0.0005314960629920995,5077.3
syn3,0.997,sa,True,100.0,0.0,0.0,0.0,0.0,0.0,-5.159974080015672e-06,0.010216278955340385,0.9970473647117615,15.0,0.0036,5080.0,0.0005314960629920995,5077.3
syn3,0.997,subgraphx,False,100.0,0.6482264323522905,0.5375,0.8486031746031745,0.0,0.0,0.006594432517886162,-0.000973511952906847,0.9974902272224426,12.75,1.6881,5080.0,0.9969409448818901,15.54
syn3,0.997,subgraphx,True,100.0,0.6482264323522905,0.5375,0.8486031746031745,0.0,0.0,0.006594432517886162,-0.000973511952906847,0.9974902272224426,12.75,1.959,5080.0,0.9969409448818901,15.54
syn4,0.0,distance,False,100.0,0.012320328542094458,1.0,0.0061983471074380184,1.0,1.0,0.9608341455459595,0.9628869891166687,0.004721073433756828,1926.86,0.0111,1936.0,0.004721074380165288,1926.86
syn4,0.0,distance,True,100.0,0.012320328542094458,1.0,0.0061983471074380184,1.0,0.0,0.9630500674247742,0.0,0.004721073433756828,1926.86,0.0073,1936.0,0.004721074380165288,1926.86
syn4,0.0,gnnexplainer,False,100.0,0.7953054350041158,1.0,0.6812147509353391,1.0,1.0,0.9467237591743469,0.9533898234367371,0.9900826215744019,19.2,2.5592,1936.0,0.990082644628099,19.2
syn4,0.0,gnnexplainer,True,100.0,0.7953054350041158,1.0,0.6812147509353391,1.0,0.0,0.9630500674247742,0.0,0.9900826215744019,19.2,2.6709,1936.0,0.990082644628099,19.2
syn4,0.0,ig,False,100.0,0.6503668547299968,1.0,0.5046313094095536,1.0,0.21,0.9630475640296936,0.22095483541488647,0.9855785369873047,27.92,0.149,1936.0,0.985578512396694,27.92
syn4,0.0,ig,True,100.0,0.6503668547299968,1.0,0.5046313094095536,1.0,0.0,0.9630500674247742,0.0,0.9855785369873047,27.92,0.1663,1936.0,0.985578512396694,27.92
syn4,0.0,occlusion,False,100.0,0.012320328542094458,1.0,0.0061983471074380184,0.93,1.0,0.8906551599502563,0.9601863026618958,0.0010898864129558206,1933.89,0.0746,1936.0,0.0010898760330578217,1933.89
syn4,0.0,occlusion,True,100.0,0.012320328542094458,1.0,0.0061983471074380184,1.0,0.46,0.9630560278892517,0.39203643798828125,0.0011208784999325871,1933.83,0.0627,1936.0,0.001120867768595013,1933.83
syn4,0.0,pagerank,False,100.0,0.012335656070136529,1.0,0.006206106240345463,1.0,0.7,0.9630517363548279,0.6337813138961792,0.0012500113807618618,1933.58,0.0124,1936.0,0.0012499999999999833,1933.58
syn4,0.0,pagerank,True,100.0,0.012335656070136529,1.0,0.006206106240345463,1.0,0.0,0.9630500674247742,0.0,0.0012500113807618618,1933.58,0.013,1936.0,0.0012499999999999833,1933.58
syn4,0.0,pgmexplainer,False,100.0,0.6503668547299968,1.0,0.5046313094095536,1.0,0.0,0.9630444049835205,-0.019122112542390823,0.9855785369873047,27.92,6.2907,1936.0,0.985578512396694,27.92
syn4,0.0,pgmexplainer,True,100.0,0.6503668547299968,1.0,0.5046313094095536,1.0,0.0,0.9630500674247742,0.0,0.9855785369873047,27.92,4.4684,1936.0,0.985578512396694,27.92
syn4,0.0,random,False,100.0,0.012320328542094458,1.0,0.0061983471074380184,0.98,1.0,0.9308033585548401,0.9528574347496033,0.0005165338516235352,1935.0,0.0001,1936.0,0.0005165289256198191,1935.0
syn4,0.0,random,True,100.0,0.012320328542094458,1.0,0.0061983471074380184,1.0,0.0,0.9630500674247742,0.0,0.0005165338516235352,1935.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.0,sa,False,100.0,0.010836476552986762,0.8783333333333333,0.005451869635738852,0.98,0.91,0.9375282526016235,0.8203580975532532,0.0013946413528174162,1933.3,0.0033,1936.0,0.0013946280991735383,1933.3
syn4,0.0,sa,True,100.0,0.010836476552986762,0.8783333333333333,0.005451869635738852,1.0,0.5,0.9630500674247742,0.4089498817920685,0.0013946413528174162,1933.3,0.0054,1936.0,0.0013946280991735383,1933.3
syn4,0.0,subgraphx,False,100.0,0.7225454545454545,0.615,0.88,1.0,1.0,0.9630500674247742,0.9601261615753174,0.9956094622612,8.5,0.2385,1936.0,0.9956095041322329,8.5
syn4,0.0,subgraphx,True,100.0,0.7225454545454545,0.615,0.88,1.0,1.0,0.9630500674247742,0.9601261615753174,0.9956094622612,8.5,0.3455,1936.0,0.9956095041322329,8.5
syn4,0.7,distance,False,100.0,0.03501631298544833,1.0,0.01782044163840004,1.0,1.0,0.9608341455459595,0.9628869891166687,0.7004133462905884,580.0,0.0078,1936.0,0.004721074380165288,1926.86
syn4,0.7,distance,True,100.0,0.03501631298544833,1.0,0.01782044163840004,1.0,0.0,0.9630500674247742,0.0,0.7004133462905884,580.0,0.0088,1936.0,0.004721074380165288,1926.86
syn4,0.7,gnnexplainer,False,100.0,0.7953054350041158,1.0,0.6812147509353391,1.0,0.99,0.9391474723815918,0.9417444467544556,0.9900826215744019,19.2,3.0621,1936.0,0.990082644628099,19.2
syn4,0.7,gnnexplainer,True,100.0,0.7953054350041158,1.0,0.6812147509353391,1.0,0.0,0.9630500674247742,0.0,0.9900826215744019,19.2,2.5718,1936.0,0.990082644628099,19.2
syn4,0.7,ig,False,100.0,0.6503668547299968,1.0,0.5046313094095536,1.0,0.21,0.9630475640296936,0.22095483541488647,0.9855785369873047,27.92,0.1462,1936.0,0.985578512396694,27.92
syn4,0.7,ig,True,100.0,0.6503668547299968,1.0,0.5046313094095536,1.0,0.0,0.9630500674247742,0.0,0.9855785369873047,27.92,0.1676,1936.0,0.985578512396694,27.92
syn4,0.7,occlusion,False,100.0,0.023794714066836108,0.7816666666666667,0.012081242366116598,0.95,1.0,0.8972530961036682,0.9616726636886597,0.7004133462905884,580.0,0.0574,1936.0,0.001120867768595013,1933.83
syn4,0.7,occlusion,True,100.0,0.023794714066836108,0.7816666666666667,0.012081242366116598,1.0,0.86,0.9625153541564941,0.7972058653831482,0.7004133462905884,580.0,0.0558,1936.0,0.001120867768595013,1933.83
syn4,0.7,pagerank,False,100.0,0.0405173355173355,1.0,0.0206775684322787,1.0,0.7,0.9630517363548279,0.6337813138961792,0.7004133462905884,580.0,0.014,1936.0,0.0012499999999999833,1933.58
syn4,0.7,pagerank,True,100.0,0.0405173355173355,1.0,0.0206775684322787,1.0,0.0,0.9630500674247742,0.0,0.7004133462905884,580.0,0.0138,1936.0,0.0012499999999999833,1933.58
syn4,0.7,pgmexplainer,False,100.0,0.6503668547299968,1.0,0.5046313094095536,1.0,0.0,0.9630444049835205,-0.019122125580906868,0.9855785369873047,27.92,4.0967,1936.0,0.985578512396694,27.92
syn4,0.7,pgmexplainer,True,100.0,0.6503668547299968,1.0,0.5046313094095536,1.0,0.0,0.9630500674247742,0.0,0.9855785369873047,27.92,4.1914,1936.0,0.985578512396694,27.92
syn4,0.7,random,False,100.0,0.011187632625839694,0.4649999999999999,0.00566194049679561,0.68,1.0,0.6412705183029175,0.9627889394760132,0.7004133462905884,580.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.7,random,True,100.0,0.011187632625839694,0.4649999999999999,0.00566194049679561,0.88,1.0,0.8259324431419373,0.9628918170928955,0.7004133462905884,580.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.7,sa,False,100.0,0.016409463796189547,0.5366666666666666,0.008332117019629028,0.73,1.0,0.7099449634552002,0.8933454155921936,0.7004133462905884,580.0,0.0033,1936.0,0.0013946280991735383,1933.3
syn4,0.7,sa,True,100.0,0.016409463796189547,0.5366666666666666,0.008332117019629028,0.73,0.71,0.7099764943122864,0.6626020073890686,0.7004133462905884,580.0,0.0036,1936.0,0.0013946280991735383,1933.3
syn4,0.7,subgraphx,False,100.0,0.7225454545454545,0.615,0.88,1.0,1.0,0.9630500674247742,0.9601261615753174,0.9956094622612,8.5,0.2721,1936.0,0.9956095041322329,8.5
syn4,0.7,subgraphx,True,100.0,0.7225454545454545,0.615,0.88,1.0,1.0,0.9630500674247742,0.9601261615753174,0.9956094622612,8.5,0.2591,1936.0,0.9956095041322329,8.5
syn4,0.99,distance,False,100.0,0.6795096073517126,0.985,0.5199716949716949,1.0,1.0,0.957838773727417,0.9628936648368835,0.9901859164237976,19.0,0.0096,1936.0,0.004721074380165288,1926.86
syn4,0.99,distance,True,100.0,0.6795096073517126,0.985,0.5199716949716949,1.0,0.43,0.9630500674247742,0.3781338036060333,0.9901859164237976,19.0,0.0072,1936.0,0.004721074380165288,1926.86
syn4,0.99,gnnexplainer,False,100.0,0.7951894082869316,0.9833333333333334,0.683974358974359,0.99,0.99,0.9313413500785828,0.9411542415618896,0.9913171529769897,16.81,2.6034,1936.0,0.990082644628099,19.2
syn4,0.99,gnnexplainer,True,100.0,0.7949392262364399,0.9816666666666667,0.6842563270063269,1.0,0.26,0.962984561920166,0.23013359308242798,0.9913171529769897,16.81,2.6414,1936.0,0.990082644628099,19.2
syn4,0.99,ig,False,100.0,0.7689201680672269,0.9966666666666667,0.6307164502164502,1.0,0.27,0.9630470871925354,0.26538190245628357,0.9905784726142883,18.24,0.222,1936.0,0.985578512396694,27.92
syn4,0.99,ig,True,100.0,0.7689201680672269,0.9966666666666667,0.6307164502164502,1.0,0.09,0.9630500674247742,0.08441796898841858,0.9905784726142883,18.24,0.1858,1936.0,0.985578512396694,27.92
syn4,0.99,occlusion,False,100.0,0.4904384177913588,0.7783333333333334,0.3585397935397935,0.96,1.0,0.9022964239120483,0.9616516828536987,0.9901859164237976,19.0,0.0635,1936.0,0.001120867768595013,1933.83
syn4,0.99,occlusion,True,100.0,0.4904384177913588,0.7783333333333334,0.3585397935397935,1.0,0.86,0.962513267993927,0.8020694851875305,0.9901859164237976,19.0,0.068,1936.0,0.001120867768595013,1933.83
syn4,0.99,pagerank,False,100.0,0.7475,0.9966666666666667,0.598,1.0,0.77,0.9630516171455383,0.7010679841041565,0.9901859164237976,19.0,0.0113,1936.0,0.0012499999999999833,1933.58
syn4,0.99,pagerank,True,100.0,0.7475,0.9966666666666667,0.598,1.0,0.11,0.9630500674247742,0.09482315927743912,0.9901859164237976,19.0,0.016,1936.0,0.0012499999999999833,1933.58
syn4,0.99,pgmexplainer,False,100.0,0.7758319327731092,1.0,0.6381709956709956,1.0,0.01,0.9630249738693237,-0.007697286084294319,0.9905784726142883,18.24,3.8948,1936.0,0.985578512396694,27.92
