dataset,topk,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn3,100,distance,100.0,1.0,0.2415626465336871,0.9566666666666666,0.13831617762406517,0.9430550336234177,0.0,0.0,0.01837414689362049,-0.0028902250342071056,0.9803151488304138,100.0,0.0267,5080.0,0.009295275590551174,5032.78
syn3,100,gnnexplainer,100.0,1.0,0.7372891348798621,0.865,0.6920230608682643,0.9208740852452533,0.0,0.0,0.015881432220339775,-0.0005734825390391052,0.9919055700302124,41.12,5.4066,5080.0,0.9721535433070868,141.46
syn3,100,ig_node,100.0,1.0,0.0,0.0,0.0,0.4901107594936709,0.0,0.0,-0.0007487213588319719,0.01837414689362049,0.9803151488304138,100.0,0.2918,5080.0,0.0004606299212598086,5077.66
syn3,100,occlusion,100.0,1.0,0.23345190771719576,0.5991666666666666,0.15470007678385567,0.7569115901898735,0.0,0.0,-0.0002909809409175068,0.01567068323493004,0.9810671210289001,96.18,0.3755,5080.0,0.06825984251968502,4733.24
syn3,100,pagerank,100.0,1.0,0.38709677419354854,1.0,0.24,0.9998008966244726,0.0,0.0,0.01837414689362049,-0.001490511349402368,0.9803151488304138,100.0,0.0262,5080.0,0.0006023622047243993,5076.94
syn3,100,pgmexplainer,100.0,1.0,0.5647579907914914,0.8516666666666667,0.4643928002687605,0.9232787776898733,0.0,0.0,0.017109885811805725,-0.002224544296041131,0.9874488711357117,63.76,5.4398,5080.0,0.9243307086614174,384.4
syn3,100,random,100.0,1.0,0.009550226325455685,0.04416666666666665,0.0053540126703602395,0.5012302627241563,0.0,0.0,-0.0005708867101930082,0.01723635382950306,0.9803151488304138,100.0,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,100,sa_node,100.0,1.0,0.0,0.0,0.0,0.4901107594936709,0.0,0.0,0.0,0.01837414689362049,0.9803151488304138,100.0,0.0042,5080.0,0.0006456692913385675,5076.72
syn3,100,subgraphx,100.0,1.0,0.7153553146603625,0.6099999999999999,0.9176751026751027,-1.0,0.0,0.0,0.01659732311964035,-0.0036949641071259975,0.9964803457260132,17.88,1.3137,5080.0,0.9768740157480325,15.88
syn3,500,distance,100.0,1.0,0.05161575584778966,0.9833333333333333,0.026504280796294882,0.976859712882384,0.0,0.0,0.01837414689362049,-0.0018512839451432228,0.9015747904777527,500.0,0.018,5080.0,0.009295275590551174,5032.78
syn3,500,gnnexplainer,100.0,1.0,0.7356042791458347,0.9133333333333334,0.6907633428842894,0.9398780327004218,0.0,0.0,0.016868000850081444,-0.0006269317818805575,0.9833700656890869,84.48,5.2153,5080.0,0.9721535433070868,141.46
syn3,500,ig_node,100.0,1.0,0.0,0.0,0.0,0.4505537974683545,0.0,0.0,-0.0009962135227397084,0.01837414689362049,0.9015747904777527,500.0,0.189,5080.0,0.0004921259842519365,5077.5
syn3,500,occlusion,100.0,1.0,0.09780207070597624,0.6366666666666667,0.06887852430313134,0.7548718519251052,0.0,0.0,-0.0006365382578223944,0.01567068323493004,0.907051146030426,472.18,0.4322,5080.0,0.06825984251968502,4733.24
syn3,500,pagerank,100.0,1.0,0.09160305343511453,1.0,0.048,0.9998008966244726,0.0,0.0,0.01837414689362049,-0.00029016018379479647,0.9015747904777527,500.0,0.0279,5080.0,0.0006023622047243993,5076.94
syn3,500,pgmexplainer,100.0,1.0,0.5201127462493713,0.9258333333333333,0.4320551043001244,0.9539952531645569,0.0,0.0,0.018149781972169876,-0.0017009908333420753,0.9660077691078186,172.68,7.338,5080.0,0.9258818897637798,376.52
syn3,500,random,100.0,1.0,0.008453612468038484,0.17166666666666663,0.004333515173179949,0.49580811577004213,0.0,0.0,-0.0019995940383523703,0.012228002771735191,0.9015747904777527,500.0,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,500,sa_node,100.0,1.0,0.0,0.0,0.0,0.4505537974683545,0.0,0.0,0.0,0.01837414689362049,0.9015747904777527,500.0,0.0056,5080.0,0.0006417322834645511,5076.74
