dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,False,False,0.997,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.03,0.5444079637527466,0.18238453567028046,0.9970236420631409,37.0,0.841,12431.0,0.00010216394497623348,12429.73
citeseer,False,False,0.997,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.69,0.01,0.5831903219223022,0.06475727260112762,0.9981241822242737,23.32,28.9466,12431.0,0.9878014640817314,151.64
citeseer,False,False,0.997,random,100.0,-1.0,-1.0,-1.0,-1.0,0.08,0.82,0.1858544498682022,0.6288793087005615,0.9970236420631409,37.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,False,0.997,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.46,0.26,0.4393185079097748,0.22174501419067383,0.9978183507919312,27.12,0.05,12431.0,0.6356672834043923,4529.02
citeseer,False,False,0.997,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.47,0.22,0.34908226132392883,0.28214073181152344,0.999570369720459,5.34,241.122,12431.0,0.9995704287667934,5.34
citeseer,False,True,0.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.9944823980331421,68.59,1.575,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019550919532776,0.5269769430160522,5880.15,1.0142,12431.0,0.5269769125573167,5880.15
citeseer,False,True,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.0,0.6288793087005615,0.1983812004327774,0.9944823980331421,68.59,0.732,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.1,0.6260339617729187,0.16558270156383514,0.8474066257476807,1896.89,0.0066,12431.0,0.8474064837905242,1896.89
citeseer,False,True,0.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.83,0.1,0.6365966200828552,0.15068812668323517,0.4983155131340027,6236.44,0.3343,12431.0,0.49831550156865917,6236.44
citeseer,False,True,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019550919532776,0.9944823980331421,68.59,0.9843,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.00010217606904916465,12429.73,0.7132,12431.0,0.00010216394497623348,12429.73
citeseer,False,True,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019932389259338,0.9878016114234924,151.64,20.6423,12431.0,0.9878014640817314,151.64
citeseer,False,True,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.23,0.6288793087005615,0.18536940217018127,8.046627044677734e-05,12430.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,True,0.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.16,0.5727652311325073,0.18289314210414886,0.6356672048568726,4529.02,0.0506,12431.0,0.6356672834043923,4529.02
citeseer,False,True,0.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.19,0.34112218022346497,0.2424190640449524,0.999570369720459,5.34,314.0675,12431.0,0.9995704287667934,5.34
citeseer,False,True,0.7,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.9944823980331421,68.59,1.5086,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.8137101531028748,2315.77,1.0181,12431.0,0.5269769125573167,5880.15
citeseer,False,True,0.7,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.0,0.6288793087005615,0.19809935986995697,0.9944823980331421,68.59,0.7417,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.7,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.06,0.6304137706756592,0.14878347516059875,0.9523981213569641,591.74,0.0069,12431.0,0.8474064837905242,1896.89
citeseer,False,True,0.7,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.84,0.07,0.6456332206726074,0.15769638121128082,0.8482874035835266,1885.94,0.3199,12431.0,0.49831550156865917,6236.44
citeseer,False,True,0.7,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019550919532776,0.9944823980331421,68.59,1.0066,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.7,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.7000242471694946,3729.0,0.9605,12431.0,0.00010216394497623348,12429.73
citeseer,False,True,0.7,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.1501993089914322,0.9878016114234924,151.64,29.6632,12431.0,0.9878014640817314,151.64
citeseer,False,True,0.7,random,100.0,-1.0,-1.0,-1.0,-1.0,0.18,0.55,0.20365005731582642,0.40327614545822144,0.7000242471694946,3729.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,True,0.7,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.61,0.27,0.5193914771080017,0.2509099245071411,0.8875594139099121,1397.75,0.0517,12431.0,0.6356672834043923,4529.02
citeseer,False,True,0.7,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.19,0.34112218022346497,0.2424190640449524,0.999570369720459,5.34,237.3676,12431.0,0.9995704287667934,5.34
citeseer,False,True,0.99,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.1,0.5463061332702637,0.16630950570106506,0.9970670938491821,36.46,1.4247,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.99,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.78,0.08,0.5965526103973389,0.15019549429416656,0.9935107231140137,80.67,0.9918,12431.0,0.5269769125573167,5880.15
citeseer,False,True,0.99,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.02,0.5517205595970154,0.2242075800895691,0.9970670938491821,36.46,0.7305,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.99,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.06,0.6304137706756592,0.14878347516059875,0.9965417981147766,42.99,0.0067,12431.0,0.8474064837905242,1896.89
citeseer,False,True,0.99,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.07,0.6365863680839539,0.15769638121128082,0.9938493371009827,76.46,0.4948,12431.0,0.49831550156865917,6236.44
citeseer,False,True,0.99,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6316277980804443,0.15019549429416656,0.9970670938491821,36.46,1.1372,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.99,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019550919532776,0.9900250434875488,124.0,0.8872,12431.0,0.00010216394497623348,12429.73
citeseer,False,True,0.99,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.79,0.08,0.6046937704086304,0.1501993089914322,0.9958322644233704,51.81,29.225,12431.0,0.9878014640817314,151.64
citeseer,False,True,0.99,random,100.0,-1.0,-1.0,-1.0,-1.0,0.11,0.82,0.17761392891407013,0.6282256245613098,0.9900250434875488,124.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,True,0.99,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.61,0.27,0.5193914771080017,0.2509099245071411,0.9941550493240356,72.66,0.0694,12431.0,0.6356672834043923,4529.02
citeseer,False,True,0.99,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.19,0.34112218022346497,0.2424190640449524,0.999570369720459,5.34,311.3419,12431.0,0.9995704287667934,5.34
citeseer,False,True,0.997,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.64,0.16,0.4791660010814667,0.2299918681383133,0.9983662962913513,20.31,1.5491,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.997,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.08,0.545254111289978,0.16030891239643097,0.9978602528572083,26.6,0.8988,12431.0,0.5269769125573167,5880.15
citeseer,False,True,0.997,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.64,0.09,0.48457324504852295,0.27000153064727783,0.9983662962913513,20.31,0.7373,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.997,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.06,0.6304137706756592,0.14878349006175995,0.9983767867088318,20.18,0.0049,12431.0,0.8474064837905242,1896.89
citeseer,False,True,0.997,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.77,0.06,0.601514995098114,0.1612788438796997,0.9978288412094116,26.99,0.4915,12431.0,0.49831550156865917,6236.44
citeseer,False,True,0.997,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.07,0.6348866820335388,0.14808136224746704,0.9983662962913513,20.31,1.1194,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.997,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.1501954048871994,0.9970236420631409,37.0,0.8461,12431.0,0.00010216394497623348,12429.73
citeseer,False,True,0.997,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.07,0.5568570494651794,0.1480342447757721,0.9981241822242737,23.32,29.2657,12431.0,0.9878014640817314,151.64
citeseer,False,True,0.997,random,100.0,-1.0,-1.0,-1.0,-1.0,0.11,0.82,0.17764754593372345,0.6288793087005615,0.9970236420631409,37.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,True,0.997,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.61,0.27,0.5211158394813538,0.25094687938690186,0.9978183507919312,27.12,0.0507,12431.0,0.6356672834043923,4529.02
citeseer,False,True,0.997,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.19,0.34112218022346497,0.2424190640449524,0.999570369720459,5.34,254.7249,12431.0,0.9995704287667934,5.34
citeseer,True,False,0.0,basic_gnnexplainer,100.0,0.19,0.21,0.4484405219554901,0.40716472268104553,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,1.5976,12431.0,0.992739924382592,90.25
citeseer,True,False,0.0,distance,100.0,0.2,0.06,0.5538211464881897,0.2675899267196655,-1.0,-1.0,-1.0,-1.0,0.481174498796463,6449.52,1.0135,12431.0,0.48117448314697164,6449.52
citeseer,True,False,0.0,gnnexplainer,100.0,0.47,0.02,0.6284080743789673,0.5036099553108215,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,0.7139,12431.0,0.992739924382592,90.25
citeseer,True,False,0.0,gradcam,100.0,0.18,0.06,0.4993259906768799,0.3239172101020813,-1.0,-1.0,-1.0,-1.0,0.9066510796546936,1160.42,0.0067,12431.0,0.906651114150109,1160.42
citeseer,True,False,0.0,ig,100.0,0.39,0.04,0.5856842994689941,0.20403021574020386,-1.0,-1.0,-1.0,-1.0,0.6263543963432312,4644.79,0.3342,12431.0,0.6263542756013194,4644.79
citeseer,True,False,0.0,occlusion,100.0,0.73,0.0,0.7087165117263794,0.0558350570499897,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,1.0121,12431.0,0.992739924382592,90.25
citeseer,True,False,0.0,pgmexplainer,100.0,0.62,0.0,0.690462052822113,0.030798323452472687,-1.0,-1.0,-1.0,-1.0,0.9852843284606934,182.93,21.2397,12431.0,0.985284369720859,182.93
citeseer,True,False,0.0,random,100.0,0.27,0.26,0.5727242827415466,0.5822147727012634,-1.0,-1.0,-1.0,-1.0,8.046627044677734e-05,12430.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,True,False,0.0,sa,100.0,0.46,0.06,0.583595335483551,0.17291168868541718,-1.0,-1.0,-1.0,-1.0,0.7545797228813171,3050.82,0.0521,12431.0,0.7545796798326763,3050.82
citeseer,True,False,0.0,subgraphx,100.0,0.34,0.19,0.3279857337474823,0.3572155237197876,-1.0,-1.0,-1.0,-1.0,0.9995237588882446,5.92,250.683,12431.0,0.9995237712171184,5.92
citeseer,True,False,0.7,basic_gnnexplainer,100.0,0.19,0.19,0.4123968482017517,0.4374467134475708,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,0.7218,12431.0,0.992739924382592,90.25
citeseer,True,False,0.7,distance,100.0,0.2,0.06,0.5538211464881897,0.2675899267196655,-1.0,-1.0,-1.0,-1.0,0.795656144618988,2540.2,1.0035,12431.0,0.48117448314697164,6449.52
citeseer,True,False,0.7,gnnexplainer,100.0,0.4,0.05,0.6076541543006897,0.5035831928253174,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,0.7239,12431.0,0.992739924382592,90.25
citeseer,True,False,0.7,gradcam,100.0,0.18,0.06,0.4997636675834656,0.3235323429107666,-1.0,-1.0,-1.0,-1.0,0.9696459770202637,377.33,0.0065,12431.0,0.906651114150109,1160.42
citeseer,True,False,0.7,ig,100.0,0.39,0.04,0.5862011909484863,0.20420464873313904,-1.0,-1.0,-1.0,-1.0,0.8853335380554199,1425.42,0.3222,12431.0,0.6263542756013194,4644.79
citeseer,True,False,0.7,occlusion,100.0,0.73,0.0,0.7087164521217346,0.0558350570499897,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,1.2183,12431.0,0.992739924382592,90.25
citeseer,True,False,0.7,pagerank,100.0,0.39,0.04,0.5821027159690857,0.22213144600391388,-1.0,-1.0,-1.0,-1.0,0.7000242471694946,3729.0,1.019,12431.0,0.00010216394497623348,12429.73
citeseer,True,False,0.7,pgmexplainer,100.0,0.62,0.0,0.690462052822113,0.03079831786453724,-1.0,-1.0,-1.0,-1.0,0.9852843284606934,182.93,30.4815,12431.0,0.985284369720859,182.93
