dataset,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
cora,0.7,distance,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,0.7148950695991516,3781.63,0.2911,13264.0,0.09579086248492169,11993.43
cora,0.7,gnnexplainer,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,0.9854152798652649,193.45,0.7191,13264.0,0.98541541013269,193.45
cora,0.7,ig,100.0,0.73,-0.03,0.6556917428970337,-0.08924440294504166,0.7667859792709351,3093.35,0.2082,13264.0,0.2292928226779251,10222.66
cora,0.7,occlusion,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,0.9854152798652649,193.45,0.5732,13264.0,0.98541541013269,193.45
cora,0.7,pagerank,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,0.7000149488449097,3979.0,0.2866,13264.0,7.539203860074117e-05,13263.0
cora,0.7,pgmexplainer,100.0,0.74,0.01,0.645821750164032,-0.03536815568804741,0.9702940583229065,394.02,13.4936,13264.0,0.9702940289505428,394.02
cora,0.7,random,100.0,0.05,0.29,0.011973477900028229,0.25393474102020264,0.7000149488449097,3979.0,0.0002,13264.0,7.539203860074117e-05,13263.0
cora,0.7,sa,100.0,0.27,0.46,0.205937460064888,0.386025607585907,0.9108481407165527,1182.51,0.0097,13264.0,0.7105556393244875,3839.19
cora,0.99,distance,100.0,0.69,0.0,0.5785813927650452,-0.04473716393113136,0.9904269576072693,126.98,0.2906,13264.0,0.09579086248492169,11993.43
cora,0.99,gnnexplainer,100.0,0.58,0.06,0.47261637449264526,0.04355260357260704,0.994363009929657,74.77,0.629,13264.0,0.98541541013269,193.45
cora,0.99,ig,100.0,0.63,0.0,0.5534567832946777,-0.06660246849060059,0.9909055233001709,120.63,0.1921,13264.0,0.2292928226779251,10222.66
cora,0.99,occlusion,100.0,0.6,0.02,0.49274972081184387,-0.028389325365424156,0.994363009929657,74.77,0.778,13264.0,0.98541541013269,193.45
cora,0.99,pagerank,100.0,0.74,0.01,0.645821750164032,-0.03547776862978935,0.9900484681129456,132.0,0.3916,13264.0,7.539203860074117e-05,13263.0
cora,0.99,pgmexplainer,100.0,0.66,0.02,0.5478091239929199,-0.026215342804789543,0.9920945167541504,104.86,13.2604,13264.0,0.9702940289505428,394.02
cora,0.99,random,100.0,0.02,0.73,-0.02545100636780262,0.6457401514053345,0.9900484681129456,132.0,0.0002,13264.0,7.539203860074117e-05,13263.0
cora,0.99,sa,100.0,0.27,0.45,0.205937460064888,0.37654736638069153,0.9954538941383362,60.3,0.008,13264.0,0.7105556393244875,3839.19
cora,0.997,distance,100.0,0.56,0.0,0.46685582399368286,-0.039439424872398376,0.9971427917480469,37.9,0.2764,13264.0,0.09579086248492169,11993.43
cora,0.997,gnnexplainer,100.0,0.38,0.19,0.3036164343357086,0.14730849862098694,0.997549831867218,32.5,0.6338,13264.0,0.98541541013269,193.45
cora,0.997,ig,100.0,0.49,0.04,0.4390808343887329,-0.024945581331849098,0.9971548318862915,37.74,0.183,13264.0,0.2292928226779251,10222.66
cora,0.997,occlusion,100.0,0.41,0.1,0.3275638222694397,0.06501466035842896,0.997549831867218,32.5,0.5666,13264.0,0.98541541013269,193.45
cora,0.997,pagerank,100.0,0.74,0.01,0.645821750164032,-0.03104705736041069,0.9970598816871643,39.0,0.2835,13264.0,7.539203860074117e-05,13263.0
cora,0.997,pgmexplainer,100.0,0.57,0.0,0.4551388621330261,-0.04244118556380272,0.997303307056427,35.77,13.4096,13264.0,0.9702940289505428,394.02
cora,0.997,random,100.0,0.02,0.74,-0.025481587275862694,0.6462072134017944,0.9970598816871643,39.0,0.0001,13264.0,7.539203860074117e-05,13263.0
cora,0.997,sa,100.0,0.25,0.46,0.19196900725364685,0.38525620102882385,0.9984544515609741,20.5,0.008,13264.0,0.7105556393244875,3839.19
facebook,0.0,distance,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,3.064215343329124e-05,364104.84,1.7809,364116.0,3.06495732129386e-05,364104.84
facebook,0.0,gnnexplainer,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,0.9828433990478516,6247.02,0.6613,364116.0,0.9828433246547803,6247.02
facebook,0.0,ig,100.0,0.65,-0.03,0.6413964629173279,-0.08252013474702835,0.010605874471366405,360254.23,0.7826,364116.0,0.010605878346461038,360254.23
facebook,0.0,occlusion,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,0.9828433990478516,6247.02,16.5244,364116.0,0.9828433246547803,6247.02
facebook,0.0,pagerank,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,2.7692317416949663e-06,364114.99,2.6837,364116.0,2.7738413033429056e-06,364114.99
facebook,0.0,random,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,2.7418136596679688e-06,364115.0,0.0032,364116.0,2.7463775280622826e-06,364115.0
facebook,0.0,sa,100.0,-0.03,0.62,-0.03225163370370865,0.5989863276481628,0.8694807291030884,47524.12,0.0226,364116.0,0.8694808247920993,47524.12
facebook,0.7,distance,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,0.7000023126602173,109234.0,1.7054,364116.0,3.06495732129386e-05,364104.84
facebook,0.7,gnnexplainer,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,0.9828433990478516,6247.02,0.6247,364116.0,0.9828433246547803,6247.02
facebook,0.7,ig,100.0,0.61,-0.03,0.6116155982017517,-0.05761141702532768,0.7029944658279419,108144.51,0.768,364116.0,0.010605878346461038,360254.23
facebook,0.7,occlusion,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,0.9828433990478516,6247.02,16.8419,364116.0,0.9828433246547803,6247.02
facebook,0.7,pagerank,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,0.7000023126602173,109234.0,2.2881,364116.0,2.7738413033429056e-06,364114.99
facebook,0.7,pgmexplainer,100.0,0.61,0.0,0.6252062916755676,-0.04683183133602142,0.9581573605537415,15235.58,87.1153,364116.0,0.957228410726252,15573.82
facebook,0.7,random,100.0,0.02,0.14,-0.02896815724670887,0.15957632660865784,0.7000023126602173,109234.0,0.0031,364116.0,2.7463775280622826e-06,364115.0
facebook,0.7,sa,100.0,0.0,0.62,-0.013380889780819416,0.5949583053588867,0.9603480696678162,14437.91,0.0233,364116.0,0.8694808247920993,47524.12
facebook,0.99,distance,100.0,0.56,0.03,0.5866203904151917,-0.01683502458035946,0.9900003671646118,3641.0,1.9377,364116.0,3.06495732129386e-05,364104.84
facebook,0.99,gnnexplainer,100.0,0.39,0.05,0.4585075378417969,0.00042738995398394763,0.9954367876052856,1661.56,0.6481,364116.0,0.9828433246547803,6247.02
facebook,0.99,ig,100.0,0.5,-0.03,0.5152271389961243,-0.060231875628232956,0.9900925159454346,3607.44,0.7812,364116.0,0.010605878346461038,360254.23
facebook,0.99,occlusion,100.0,0.37,0.04,0.4399738311767578,-0.009117843583226204,0.9954367876052856,1661.56,16.9867,364116.0,0.9828433246547803,6247.02
facebook,0.99,pagerank,100.0,0.61,0.01,0.6252062916755676,-0.03683502599596977,0.9900003671646118,3641.0,3.2704,364116.0,2.7738413033429056e-06,364114.99
facebook,0.99,pgmexplainer,100.0,0.48,-0.01,0.5271149277687073,-0.056360870599746704,0.9926033020019531,2693.2,105.5089,364116.0,0.957228410726252,15573.82
facebook,0.99,random,100.0,0.01,0.58,-0.03683502599596977,0.605657696723938,0.9900003671646118,3641.0,0.0028,364116.0,2.7463775280622826e-06,364115.0
facebook,0.99,sa,100.0,0.0,0.62,-0.013380889780819416,0.5949583053588867,0.998443067073822,566.89,0.0227,364116.0,0.8694808247920993,47524.12
facebook,0.997,distance,100.0,0.5,0.02,0.5402665138244629,-0.02409514971077442,0.9970008134841919,1092.0,1.8635,364116.0,3.06495732129386e-05,364104.84
facebook,0.997,gnnexplainer,100.0,0.27,0.13,0.3239123821258545,0.07810927927494049,0.9979755878448486,737.12,0.6315,364116.0,0.9828433246547803,6247.02
facebook,0.997,ig,100.0,0.42,0.01,0.44041603803634644,-0.029800157994031906,0.9970229864120483,1083.93,0.7715,364116.0,0.010605878346461038,360254.23
facebook,0.997,occlusion,100.0,0.25,0.05,0.3024570345878601,-0.00022574226022697985,0.9979755878448486,737.12,16.6425,364116.0,0.9828433246547803,6247.02
facebook,0.997,pagerank,100.0,0.61,0.02,0.6252062916755676,-0.02683502435684204,0.9970008134841919,1092.0,2.4939,364116.0,2.7738413033429056e-06,364114.99
facebook,0.997,pgmexplainer,100.0,0.34,-0.01,0.4111211895942688,-0.05636068433523178,0.9974011182785034,946.23,99.0188,364116.0,0.957228410726252,15573.82
facebook,0.997,random,100.0,0.01,0.61,-0.03683493658900261,0.624254584312439,0.9970008134841919,1092.0,0.003,364116.0,2.7463775280622826e-06,364115.0
facebook,0.997,sa,100.0,-0.01,0.62,-0.021098069846630096,0.5949583053588867,0.9995103478431702,178.3,0.0218,364116.0,0.8694808247920993,47524.12
pubmed,0.0,distance,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,7.65973309171386e-05,108356.7,1.3384,108365.0,7.659299589348966e-05,108356.7
pubmed,0.0,gnnexplainer,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.996550440788269,373.82,0.633,108365.0,0.996550362201818,373.82
pubmed,0.0,ig,100.0,0.46,-0.08,0.40967652201652527,-0.12096022814512253,0.17967362701892853,88894.67,0.6734,108365.0,0.1796736031006322,88894.67
pubmed,0.0,occlusion,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.996550440788269,373.82,2.5427,108365.0,0.996550362201818,373.82
pubmed,0.0,pagerank,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,1.5243292182276491e-05,108363.35,1.524,108365.0,1.5226318460721533e-05,108363.35
pubmed,0.0,pgmexplainer,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.98650062084198,1462.85,87.667,108365.0,0.9865007151755637,1462.85
pubmed,0.0,random,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,9.238719940185547e-06,108364.0,0.0011,108365.0,9.228071794376014e-06,108364.0
pubmed,0.0,sa,100.0,0.03,0.27,0.047485243529081345,0.17656265199184418,0.5079134702682495,53324.96,0.0431,108365.0,0.5079134406865687,53324.96
pubmed,0.7,distance,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.7000045776367188,32509.0,1.285,108365.0,7.659299589348966e-05,108356.7
pubmed,0.7,gnnexplainer,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.996550440788269,373.82,0.612,108365.0,0.996550362201818,373.82
pubmed,0.7,ig,100.0,0.51,-0.14,0.45730361342430115,-0.18258945643901825,0.7535767555236816,26703.66,0.664,108365.0,0.1796736031006322,88894.67
pubmed,0.7,occlusion,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.996550440788269,373.82,2.2171,108365.0,0.996550362201818,373.82
pubmed,0.7,pagerank,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.7000045776367188,32509.0,1.3649,108365.0,1.5226318460721533e-05,108363.35
pubmed,0.7,pgmexplainer,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.98650062084198,1462.85,91.9499,108365.0,0.9865007151755637,1462.85
pubmed,0.7,random,100.0,-0.01,0.13,-0.054918285459280014,0.09752870351076126,0.7000045776367188,32509.0,0.0012,108365.0,9.228071794376014e-06,108364.0
pubmed,0.7,sa,100.0,-0.02,0.42,-0.014763281680643559,0.3236227035522461,0.8498410582542419,16271.97,0.0446,108365.0,0.5079134406865687,53324.96
pubmed,0.99,distance,100.0,0.43,-0.03,0.3826547861099243,-0.07381635904312134,0.9900057911872864,1083.0,1.279,108365.0,7.659299589348966e-05,108356.7
pubmed,0.99,gnnexplainer,100.0,0.39,-0.03,0.3466874063014984,-0.07527302205562592,0.9976933002471924,249.97,0.599,108365.0,0.996550362201818,373.82
pubmed,0.99,ig,100.0,0.51,-0.14,0.45375552773475647,-0.18258945643901825,0.9913828372955322,933.78,0.6514,108365.0,0.1796736031006322,88894.67
pubmed,0.99,occlusion,100.0,0.4,-0.04,0.3538757264614105,-0.08380041271448135,0.9976933002471924,249.97,2.6705,108365.0,0.996550362201818,373.82
pubmed,0.99,pagerank,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.9900057911872864,1083.0,1.8457,108365.0,1.5226318460721533e-05,108363.35
pubmed,0.99,pgmexplainer,100.0,0.4,-0.04,0.35681578516960144,-0.08380122482776642,0.994712233543396,573.0,82.6199,108365.0,0.9865007151755637,1462.85
pubmed,0.99,random,100.0,-0.03,0.43,-0.07889803498983383,0.3858351409435272,0.9900057911872864,1083.0,0.001,108365.0,9.228071794376014e-06,108364.0
pubmed,0.99,sa,100.0,0.0,0.41,-0.003213487798348069,0.3139634132385254,0.9940654039382935,643.1,0.0431,108365.0,0.5079134406865687,53324.96
pubmed,0.997,distance,100.0,0.43,-0.04,0.3785870373249054,-0.08573651313781738,0.9970008134841919,325.0,1.2305,108365.0,7.659299589348966e-05,108356.7
pubmed,0.997,gnnexplainer,100.0,0.34,-0.01,0.2930079698562622,-0.055514927953481674,0.998614490032196,150.15,0.6155,108365.0,0.996550362201818,373.82
pubmed,0.997,ig,100.0,0.5,-0.13,0.4375919997692108,-0.16882488131523132,0.9972569346427917,297.25,0.6335,108365.0,0.1796736031006322,88894.67
pubmed,0.997,occlusion,100.0,0.38,-0.05,0.32852664589881897,-0.09029164910316467,0.998614490032196,150.15,2.191,108365.0,0.996550362201818,373.82
pubmed,0.997,pagerank,100.0,0.43,-0.04,0.3826547861099243,-0.08380049467086792,0.9970008134841919,325.0,1.3103,108365.0,1.5226318460721533e-05,108363.35
pubmed,0.997,pgmexplainer,100.0,0.37,-0.06,0.3167092502117157,-0.10301167517900467,0.9976171255111694,258.21,85.4054,108365.0,0.9865007151755637,1462.85
pubmed,0.997,random,100.0,-0.03,0.43,-0.07380447536706924,0.3852909803390503,0.9970008134841919,325.0,0.0009,108365.0,9.228071794376014e-06,108364.0
pubmed,0.997,sa,100.0,0.01,0.4,0.004574999213218689,0.3067881464958191,0.9979286789894104,224.45,0.044,108365.0,0.5079134406865687,53324.96
