dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,False,True,0.997,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.1501954048871994,0.9970236420631409,37.0,0.8251,12431.0,0.00010216394497623348,12429.73
citeseer,False,True,0.997,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.07,0.5364580750465393,0.1476069837808609,0.9981241822242737,23.32,30.114,12431.0,0.9880275118654979,148.83
citeseer,False,True,0.997,random,100.0,-1.0,-1.0,-1.0,-1.0,0.08,0.81,0.14738087356090546,0.6275464296340942,0.9970236420631409,37.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,True,False,0.0,distance,100.0,0.2,0.06,0.5538211464881897,0.2675899267196655,-1.0,-1.0,-1.0,-1.0,0.481174498796463,6449.52,0.9907,12431.0,0.48117448314697164,6449.52
citeseer,True,False,0.0,gnnexplainer,100.0,0.29,0.03,0.5230077505111694,0.3266924023628235,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,1.247,12431.0,0.992739924382592,90.25
citeseer,True,False,0.0,ig,100.0,0.37,0.03,0.5759426355361938,0.20655672252178192,-1.0,-1.0,-1.0,-1.0,0.49848687648773193,6234.31,0.5432,12431.0,0.49848684739763494,6234.31
citeseer,True,False,0.0,occlusion,100.0,0.74,0.02,0.7089173793792725,0.04834851250052452,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,1.2664,12431.0,0.992739924382592,90.25
citeseer,True,False,0.0,pagerank,100.0,0.39,0.04,0.5821027159690857,0.22213144600391388,-1.0,-1.0,-1.0,-1.0,0.00010217606904916465,12429.73,0.831,12431.0,0.00010216394497623348,12429.73
citeseer,True,False,0.0,pgmexplainer,100.0,0.63,0.0,0.6875972151756287,0.036412134766578674,-1.0,-1.0,-1.0,-1.0,0.9854332208633423,181.08,31.5592,12431.0,0.9854331912155097,181.08
citeseer,True,False,0.0,random,100.0,0.11,0.09,0.44128599762916565,0.4025578796863556,-1.0,-1.0,-1.0,-1.0,8.046627044677734e-05,12430.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,True,False,0.0,sa,100.0,0.24,0.43,0.262480765581131,0.47394660115242004,-1.0,-1.0,-1.0,-1.0,0.5997546911239624,4975.45,0.0606,12431.0,0.5997546456439546,4975.45
citeseer,True,False,0.0,subgraphx,100.0,0.34,0.19,0.3279857337474823,0.3572155237197876,-1.0,-1.0,-1.0,-1.0,0.9995237588882446,5.92,338.5552,12431.0,0.9995237712171184,5.92
citeseer,True,False,0.7,distance,100.0,0.2,0.06,0.5538211464881897,0.2675899267196655,-1.0,-1.0,-1.0,-1.0,0.795656144618988,2540.2,0.9947,12431.0,0.48117448314697164,6449.52
citeseer,True,False,0.7,gnnexplainer,100.0,0.32,0.07,0.5000056624412537,0.34333840012550354,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,0.8262,12431.0,0.992739924382592,90.25
citeseer,True,False,0.7,ig,100.0,0.37,0.03,0.575507402420044,0.20654870569705963,-1.0,-1.0,-1.0,-1.0,0.848379909992218,1884.79,0.3235,12431.0,0.49848684739763494,6234.31
citeseer,True,False,0.7,occlusion,100.0,0.74,0.02,0.7089173793792725,0.04834851250052452,-1.0,-1.0,-1.0,-1.0,0.9927398562431335,90.25,1.2242,12431.0,0.992739924382592,90.25
citeseer,True,False,0.7,pagerank,100.0,0.39,0.04,0.5821027159690857,0.22213144600391388,-1.0,-1.0,-1.0,-1.0,0.7000242471694946,3729.0,1.0739,12431.0,0.00010216394497623348,12429.73
citeseer,True,False,0.7,pgmexplainer,100.0,0.63,0.0,0.6875972151756287,0.036412134766578674,-1.0,-1.0,-1.0,-1.0,0.9854332208633423,181.08,29.0194,12431.0,0.9854331912155097,181.08
citeseer,True,False,0.7,random,100.0,0.07,0.35,0.19598974287509918,0.6235765218734741,-1.0,-1.0,-1.0,-1.0,0.7000242471694946,3729.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,True,False,0.7,sa,100.0,0.25,0.49,0.2259390950202942,0.49612194299697876,-1.0,-1.0,-1.0,-1.0,0.8793243169784546,1500.12,0.0537,12431.0,0.5997546456439546,4975.45
citeseer,True,False,0.99,distance,100.0,0.2,0.07,0.5236268043518066,0.29512497782707214,-1.0,-1.0,-1.0,-1.0,0.9928566813468933,88.8,0.9945,12431.0,0.48117448314697164,6449.52
citeseer,True,False,0.99,gnnexplainer,100.0,0.31,0.05,0.48896390199661255,0.3396909832954407,-1.0,-1.0,-1.0,-1.0,0.9962376356124878,46.77,1.2517,12431.0,0.992739924382592,90.25
