index,dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
26,actor,False,False,0.99,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.86,0.72,0.18106460571289062,0.15686121582984924,0.9900029897689819,609.0,16493.8,8.544326611459688,0.001299857828665019,609.0,5.834749848674104,0.044092095487917156,0.8139,60918.0,0.7292458714993925,16493.8
27,actor,False,False,0.99,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.85,0.7,0.17979665100574493,0.14620192348957062,0.9910640716552734,544.36,5330.01,7.596861917671471,0.25369616208762863,544.36,6.104387744988677,0.4636593579625242,32.5026,60918.0,0.9125051708854527,5330.01
28,actor,False,False,0.99,random,100.0,-1.0,-1.0,-1.0,-1.0,0.79,0.98,0.19340652227401733,0.19989563524723053,0.9900029897689819,609.0,60855.62,10.824148723260675,0.45385437677506885,609.0,6.411814101905154,0.9946443521619522,0.0005,60918.0,0.0010239994747037007,60855.62
29,actor,False,False,0.99,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.59,0.53,0.13796260952949524,0.10769417136907578,0.9905774593353271,574.0,30711.94,9.075839079370974,0.544493180603563,574.0,6.216918373589026,0.728868451045612,0.0228,60918.0,0.49584786105912854,30711.94
30,actor,False,False,0.997,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.55,0.8,0.13071739673614502,0.15625762939453125,0.9976880550384521,140.83,1208.43,5.321049113956699,0.7072040631852198,140.83,4.332879258748509,0.7189019338100109,7.4155,60918.0,0.9801630060080769,1208.43
31,actor,False,False,0.997,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.74,0.8,0.1740875393152237,0.16733984649181366,0.9970120787620544,182.0,60913.74,10.960461184489214,0.11051127355757114,182.0,5.15062707500917,0.3302560555555555,0.722,60918.0,6.993006993007645e-05,60913.74
32,actor,False,False,0.997,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.95,0.86,0.20127981901168823,0.19148144125938416,0.9976880550384521,140.83,1208.43,4.580984741828624,0.057158223827270864,140.83,3.821628394769003,0.17859330075013446,3.6888,60918.0,0.9801630060080769,1208.43
33,actor,False,False,0.997,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.83,0.74,0.1842741072177887,0.1626048982143402,0.9975119233131409,151.56,39782.89,8.61787465864517,0.1094562080542481,151.56,4.454480600133088,0.12491610908374014,0.0051,60918.0,0.34694359630979393,39782.89
34,actor,False,False,0.997,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.86,0.74,0.18741323053836823,0.15984830260276794,0.9970120787620544,182.0,60916.1,10.971590175366323,0.16059192196235195,182.0,5.0560757788962,0.25714537848368596,0.3931,60918.0,3.118946780918841e-05,60916.1
35,actor,False,False,0.997,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.15,0.22488918900489807,0.058522358536720276,0.9976880550384521,140.83,1208.43,5.725024465490285,0.8230394088593799,140.83,4.736608853472746,0.8236302423546839,3.3281,60918.0,0.9801630060080769,1208.43
36,actor,False,False,0.997,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.85,0.72,0.18057164549827576,0.1571308821439743,0.9970120787620544,182.0,16493.8,8.544326611459688,0.001299857828665019,182.0,4.704024711306879,0.07711344336975369,0.7926,60918.0,0.7292458714993925,16493.8
37,actor,False,False,0.997,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.75,0.72,0.16552311182022095,0.14820168912410736,0.9971610903739929,172.92,5330.01,7.596861917671471,0.25369616208762863,172.92,5.06638125932138,0.5635014828540436,56.2941,60918.0,0.9125051708854527,5330.01
38,actor,False,False,0.997,random,100.0,-1.0,-1.0,-1.0,-1.0,0.79,0.98,0.19295354187488556,0.19948558509349823,0.9970120787620544,182.0,60855.62,10.824148723260675,0.45385437677506885,182.0,5.2040063185086955,0.9982576147195696,0.0006,60918.0,0.0010239994747037007,60855.62
39,actor,False,False,0.997,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.54,0.64,0.12941193580627441,0.126169353723526,0.9970820546150208,177.74,30711.94,9.075839079370974,0.544493180603563,177.74,5.1303320753190755,0.8771020463073317,0.0233,60918.0,0.49584786105912854,30711.94
40,actor,False,True,0.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714333415031433,0.9801629781723022,1208.43,1208.43,5.2567652467981425,0.7065731399932477,1208.43,5.2567652467981425,0.7065731399932477,7.8843,60918.0,0.9801630060080769,1208.43
