dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges
syn1,False,False,15.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.16081978380680084,0.5803924798965454,4104.06,8.133763279122341,0.8034724727829671,15.0,2.7003123527434347,0.9414466292457324,0.2725,4110.0
syn1,False,False,15.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,0.4150720238685608,0.21959058940410614,4108.95,8.311185367201626,0.8961034449511913,15.0,2.706242519509845,0.9072167222899964,0.5389,4110.0
syn1,False,False,15.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.68,0.19,0.6105049252510071,0.13074937462806702,2999.84,6.340081588738761,0.0010067343477517393,15.0,2.6339915262973115,0.5092986833925613,0.0181,4110.0
syn1,False,False,15.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.03,0.68,0.021674055606126785,0.5628290772438049,763.34,5.4302742087261775,0.0026598690497896637,15.0,2.707894579867341,0.9574828773623597,94.6598,4110.0
syn1,False,False,15.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.52,0.45,0.44889840483665466,0.3420615792274475,701.42,5.676529521759492,0.2354743747555898,15.0,2.6903420555978634,0.793960908147592,5.4466,4110.0
syn1,False,False,15.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.24032001197338104,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,15.0,2.7080496150928353,0.9975986819988287,0.0001,4110.0
syn1,False,False,15.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.68,0.37474876642227173,0.5811502933502197,3384.78,7.424401001395878,0.8066358438907816,15.0,2.701179767808797,0.9440558462930035,0.0063,4110.0
syn1,False,False,15.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.47,0.3813944160938263,0.364854097366333,9.24,1.9907367269862852,1.0,9.24,1.9907367269862852,1.0,0.2522,4110.0
syn1,False,False,20.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.29,0.72,0.18766124546527863,0.5926075577735901,249.76,3.3963913174738183,0.2623678241491888,19.22,2.375624260969895,0.5235140637627308,3.408,4110.0
syn1,False,False,20.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.68,0.40422141551971436,0.5869787335395813,4053.49,8.17984190538191,0.07753128861174101,20.0,2.8665659716860654,0.29684521494708976,0.0124,4110.0
syn1,False,False,20.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.1608622521162033,0.5803595781326294,4104.06,8.133763279122341,0.8034724727829671,20.0,2.972276357419305,0.8550397146969297,0.2725,4110.0
syn1,False,False,20.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,0.4150720238685608,0.21959058940410614,4108.95,8.311185367201626,0.8961034449511913,20.0,2.994273449649508,0.9070115092921444,0.5389,4110.0
syn1,False,False,20.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.68,0.19,0.6106491088867188,0.12322650104761124,2999.84,6.340081588738761,0.0010067343477517393,20.0,2.799581426109453,0.1379716086552186,0.0181,4110.0
syn1,False,False,20.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.04,0.68,0.023922555148601532,0.5644741654396057,763.34,5.4302742087261775,0.0026598690497896637,20.0,2.9954937581477816,0.9374760927842316,94.6598,4110.0
syn1,False,False,20.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.56,0.41,0.4723815619945526,0.30044546723365784,701.42,5.676529521759492,0.2354743747555898,20.0,2.9642851738838027,0.6880971553460378,5.4466,4110.0
syn1,False,False,20.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.2403208166360855,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,20.0,2.995731236030159,0.9970613293805708,0.0001,4110.0
syn1,False,False,20.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.68,0.3747487962245941,0.5811182260513306,3384.78,7.424401001395878,0.8066358438907816,20.0,2.9710054271900437,0.8495795904122855,0.0063,4110.0
syn1,False,False,20.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.47,0.3813944160938263,0.364854097366333,9.24,1.9907367269862852,1.0,9.24,1.9907367269862852,1.0,0.2522,4110.0
syn1,False,False,25.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.29,0.72,0.18777981400489807,0.592771589756012,249.76,3.3963913174738183,0.2623678241491888,23.46,2.445156057105548,0.40465286315645854,3.408,4110.0
syn1,False,False,25.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.68,0.39900723099708557,0.5860021710395813,4053.49,8.17984190538191,0.07753128861174101,25.0,3.0751664251756456,0.2843480066137566,0.0124,4110.0
syn1,False,False,25.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.16098500788211823,0.5803595781326294,4104.06,8.133763279122341,0.8034724727829671,25.0,3.1863336592727616,0.8499582315536014,0.2725,4110.0
syn1,False,False,25.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,0.4150720238685608,0.21959058940410614,4108.95,8.311185367201626,0.8961034449511913,25.0,3.217655686352121,0.906938684077885,0.5389,4110.0
syn1,False,False,25.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.68,0.19,0.610813558101654,0.12141388654708862,2999.84,6.340081588738761,0.0010067343477517393,25.0,2.9391636421353526,0.12503677124794765,0.0181,4110.0
syn1,False,False,25.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.06,0.68,0.037400342524051666,0.5690706372261047,763.34,5.4302742087261775,0.0026598690497896637,25.0,3.218523266522737,0.9351413549897306,94.6598,4110.0
syn1,False,False,25.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.57,0.39,0.4855773150920868,0.28932854533195496,701.42,5.676529521759492,0.2354743747555898,25.0,3.1776631075296073,0.6728149608027687,5.4466,4110.0
syn1,False,False,25.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.2410854697227478,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,25.0,3.2188742103390995,0.9961756031850806,0.0001,4110.0
syn1,False,False,25.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.68,0.3747487962245941,0.5811133980751038,3384.78,7.424401001395878,0.8066358438907816,25.0,3.183100170611752,0.8447247049800868,0.0063,4110.0
syn1,False,False,25.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.47,0.3813944160938263,0.364854097366333,9.24,1.9907367269862852,1.0,9.24,1.9907367269862852,1.0,0.2522,4110.0
syn1,False,False,50.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.32,0.7,0.20929677784442902,0.5745036005973816,249.76,3.3963913174738183,0.2623678241491888,38.28,2.663293449764857,0.2742396899474208,3.408,4110.0
syn1,False,False,50.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.46,0.68,0.3913733661174774,0.5850188732147217,4053.49,8.17984190538191,0.07753128861174101,50.0,3.740428658100571,0.19340099206349204,0.0124,4110.0
syn1,False,False,50.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.16108089685440063,0.5803595185279846,4104.06,8.133763279122341,0.8034724727829671,50.0,3.7997539809753507,0.8247048124400408,0.2725,4110.0
syn1,False,False,50.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,0.4150720238685608,0.21959058940410614,4108.95,8.311185367201626,0.8961034449511913,50.0,3.9113567640145215,0.906930706693218,0.5389,4110.0
syn1,False,False,50.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.68,0.19,0.610989511013031,0.12302232533693314,2999.84,6.340081588738761,0.0010067343477517393,50.0,3.3077593969487875,0.06794326823031378,0.0181,4110.0
syn1,False,False,50.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.13,0.68,0.07785061746835709,0.5858035683631897,763.34,5.4302742087261775,0.0026598690497896637,50.0,3.9108497914361897,0.8757721060352773,94.6598,4110.0
syn1,False,False,50.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.62,0.31,0.5257738828659058,0.21698032319545746,701.42,5.676529521759492,0.2354743747555898,48.34,3.8067098006575106,0.5302486823329923,5.4466,4110.0
syn1,False,False,50.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.24155807495117188,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,50.0,3.9120164774390243,0.9924577777014747,0.0001,4110.0
syn1,False,False,50.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.68,0.3749240040779114,0.5811077952384949,3384.78,7.424401001395878,0.8066358438907816,50.0,3.7907271901599144,0.8226112063110026,0.0063,4110.0
syn1,False,False,50.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.47,0.3813944160938263,0.364854097366333,9.24,1.9907367269862852,1.0,9.24,1.9907367269862852,1.0,0.2522,4110.0
