dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,cc_ratio_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio_transf,time,number_of_edges
syn1,True,True,3.0,pagerank,20.0,0.3,0.75,0.21346589922904968,0.5706263184547424,-1.0,-1.0,-1.0,-1.0,0.5,1.0,0.33333333333333326,2987.4,6.366147200272256,0.0010056247006875524,0.0027506538915790077,3.0,1.0978209990061574,0.9992144046993909,0.33333333333333326,0.0287,4110.0
syn1,True,True,3.0,pgexplainer,20.0,0.0,0.55,0.0,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,923.7,5.82317199177394,0.01653129427957888,0.19425805253696501,3.0,1.0985963467572646,0.9998883756642749,0.5,49.9946,4110.0
syn1,True,True,3.0,pgmexplainer,20.0,0.35,0.55,0.19419802725315094,0.3789418935775757,-1.0,-1.0,-1.0,-1.0,0.3875,0.775,0.25833333333333325,802.3,5.698170467642355,0.24972856268444293,0.020465026039857327,3.0,1.0983147705565481,0.9996763666862121,0.37499999999999994,3.1267,4110.0
syn1,True,True,3.0,random,20.0,0.0,0.55,-4.887580757895194e-07,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4104.7,8.126336122121874,0.4267193171526162,0.0014285714285714286,3.0,1.0986122710309567,0.9996264022628942,0.495,0.0002,4110.0
syn1,True,True,3.0,sa,20.0,0.55,0.55,0.3542402386665344,0.46729421615600586,-1.0,-1.0,-1.0,-1.0,0.05,0.1,0.03333333333333333,3728.3,7.83762953814387,0.8919433566541951,0.002128294036061027,3.0,1.0983403474302849,0.9998526100579597,0.41833333333333333,0.0036,4110.0
syn1,True,True,3.0,subgraphx,20.0,0.25,0.6,0.1930510401725769,0.4823227524757385,-1.0,-1.0,-1.0,-1.0,0.4801587301587301,0.9166666666666666,0.3416666666666667,9.6,1.9908069252710916,1.0,0.2766666666666667,2.7,0.9769727562356602,1.0,0.3691666666666667,0.1252,4110.0
syn1,True,True,4.0,basic_gnnexplainer,20.0,0.25,0.6,0.13977251946926117,0.46300944685935974,-1.0,-1.0,-1.0,-1.0,0.24555555555555558,0.3458333333333333,0.19166666666666668,281.8,3.8139701299014654,0.42557504506308924,0.06498174457685586,4.0,1.386288413870671,0.9960086607786997,0.39738095238095233,3.2343,4110.0
syn1,True,True,4.0,distance,20.0,0.1,0.55,-0.001785561442375183,0.4309912621974945,-1.0,-1.0,-1.0,-1.0,0.6277777777777778,0.8291666666666666,0.5083333333333333,4052.1,8.178818725297734,0.07516330341395817,0.0014285714285714286,4.0,1.3368811371072669,0.6917951388888889,0.2266666666666667,0.0145,4110.0
syn1,True,True,4.0,gnnexplainer,20.0,0.25,0.6,0.13011658191680908,0.4811127185821533,-1.0,-1.0,-1.0,-1.0,0.24055555555555555,0.3333333333333333,0.19166666666666665,281.8,3.6935496545516573,0.32527619456663737,0.06498174457685586,4.0,1.3529246753621256,0.9457370509507033,0.39273809523809516,3.1841,4110.0
syn1,True,True,4.0,ig,20.0,0.1,0.55,-0.01410406082868576,0.46728935837745667,-1.0,-1.0,-1.0,-1.0,0.05,0.1,0.03333333333333333,4097.1,8.20425696241743,0.8923134702121118,0.0016428571428571432,4.0,1.386149253347924,0.9897827168061758,0.3666666666666666,0.1724,4110.0
