dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio,time,number_of_edges
syn4,False,False,25.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.40199999999999997,0.122,0.4091463267803192,0.11249700784683228,0.2840991245081028,0.2219271062271062,0.4066666666666666,36.668,3.354219455017484,0.6425256554046639,23.198,3.0756226295555464,0.8059576453218508,0.089398241137947,4.0012799999999995,1950.0
syn4,False,False,25.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.027999999999999997,0.4,0.02987683266401291,0.40896123051643374,0.003875268817204301,0.0024033333333333333,0.01,1947.0639999999999,7.381199620896908,0.4594664479447932,25.0,3.218868367279582,0.9916421309129854,0.48971222721561364,2e-05,1950.0
syn4,False,False,25.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.304,0.496,0.3013995110988617,0.47691237926483154,0.06866226435654353,0.053752109818286285,0.10333333333333335,1313.6960000000001,5.976976706770658,0.4096847848364179,24.35,2.9608640861224087,0.4987671926408185,0.17090873962078362,0.0038,1950.0
syn4,False,False,25.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.305,0.37207111716270447,0.2712342068552971,0.2525674603174603,0.32133333333333336,0.21666666666666667,7.2299999999999995,1.91272327457971,1.0,7.2299999999999995,1.91272327457971,1.0,0.23541666666666666,2.2591,1950.0
syn4,False,False,50.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.40599999999999997,0.426,0.3938704013824463,0.4209528028964996,0.31471870245277966,0.2647152531163367,0.41,22.048,2.018769530323835,0.14127527100057763,21.96,2.018401130505732,0.1412760669914735,0.10261480403124337,3.9257400000000002,1950.0
syn4,False,False,50.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.40599999999999997,0.44399999999999995,0.38551963567733766,0.3977590978145599,0.13717273684244916,0.08240504700447611,0.41,1938.372,7.086640865535186,0.011210759195660539,50.0,3.713300923400047,0.15465442668431137,0.03305503047437315,0.007239999999999999,1950.0
syn4,False,False,50.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.418,0.40800000000000003,0.39260737895965575,0.41211930513381956,0.31471870245277966,0.2647152531163367,0.41,22.048,2.0238692140966146,0.13141288696648024,21.96,2.0236249680189053,0.13141372619742425,0.1026726423995656,3.2393799999999997,1950.0
syn4,False,False,50.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.374,0.422,0.3648754581809044,0.40991469025611876,0.16100966855501347,0.11729856440845417,0.31833333333333336,1309.568,5.775359243267156,0.3024567146765452,42.992000000000004,3.2706257684804796,0.31658679148899466,0.15024876206683063,0.17309999999999998,1950.0
syn4,False,False,50.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.44400000000000006,0.374,0.4293882191181183,0.36607431173324584,0.07023040199289204,0.041505273469936,0.22866666666666666,1883.304,7.4398136823713275,0.5876913375277433,49.844,3.88249676386697,0.5923405017794467,0.1732944370317659,0.07446,1950.0
syn4,False,False,50.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.24,0.4086637794971466,0.2148847758769989,0.15767521994134898,0.09761162393162394,0.41,166.568,3.531875527610574,0.0011181376119064337,50.0,3.2526009533753615,0.03602839565667681,0.040223551697899526,0.01386,1950.0
syn4,False,False,50.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.014000000000000002,0.43200000000000005,0.013795104529708623,0.436307692527771,0.00012903225806451613,8e-05,0.0003333333333333333,1607.6119999999999,6.33842460360701,0.0023832416566531775,50.0,3.9114819652651294,0.9348152159191214,0.34013516441859565,33.55514,1950.0
syn4,False,False,50.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.41200000000000003,0.13,0.4188603937625885,0.11189710050821304,0.2563366764088866,0.19540948665145594,0.41,36.668,3.354219455017484,0.6425256554046639,32.988,3.3122523917602154,0.67050780743379,0.06845338103078377,4.0012799999999995,1950.0
syn4,False,False,50.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.064,0.4,0.06308880969882011,0.4088073015213013,0.004470517393158903,0.0025063967289043277,0.020666666666666667,1947.0639999999999,7.381199620896908,0.4594664479447932,50.0,3.9119937734046593,0.9832567711836744,0.4803494843374331,2e-05,1950.0
syn4,False,False,50.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.304,0.48600000000000004,0.30378934144973757,0.47339264750480653,0.05031403192294533,0.038163007992913445,0.10366666666666666,1313.6960000000001,5.976976706770658,0.4096847848364179,45.156,3.4488940373661108,0.42702256838261227,0.1391561353097146,0.0038,1950.0
syn4,False,False,50.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.305,0.37207111716270447,0.2712342068552971,0.2525674603174603,0.32133333333333336,0.21666666666666667,7.2299999999999995,1.91272327457971,1.0,7.2299999999999995,1.91272327457971,1.0,0.23541666666666666,2.2591,1950.0
syn4,False,False,100.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.40599999999999997,0.426,0.3938784122467041,0.4209528028964996,0.31471870245277966,0.2647152531163367,0.41,22.048,2.018769530323835,0.14127527100057763,22.048,2.018769530323835,0.14127527100057763,0.1026101423995656,3.9257400000000002,1950.0
syn4,False,False,100.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.40599999999999997,0.45,0.3888493001461029,0.3991346716880798,0.07518329675763066,0.04139403192614659,0.41,1938.372,7.086640865535186,0.011210759195660539,100.0,4.363912680100155,0.10125689237575897,0.01722179587825929,0.007239999999999999,1950.0
syn4,False,False,100.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.418,0.40800000000000003,0.39262434244155886,0.4121219992637634,0.31471870245277966,0.2647152531163367,0.41,22.048,2.0238692140966146,0.13141288696648024,22.048,2.0238692140966146,0.13141288696648024,0.1026101423995656,3.2393799999999997,1950.0
syn4,False,False,100.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.376,0.422,0.3647774875164032,0.4096188545227051,0.13332199705957645,0.09886741978978289,0.31833333333333336,1309.568,5.775359243267156,0.3024567146765452,77.47200000000001,3.642944951238875,0.30573901688002775,0.13367473402498203,0.17309999999999998,1950.0
syn4,False,False,100.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.44400000000000006,0.374,0.42936831116676333,0.3659092664718628,0.04058278107507464,0.022268539831696608,0.22866666666666666,1883.304,7.4398136823713275,0.5876913375277433,98.16,4.55710263500748,0.5923283088964636,0.15515302563776046,0.07446,1950.0
syn4,False,False,100.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.24,0.40866358280181886,0.21462455689907073,0.09837221833875287,0.05614114983627361,0.41,166.568,3.531875527610574,0.0011181376119064337,95.992,3.4426439038231975,0.00642086974087312,0.021953140128810687,0.01386,1950.0
syn4,False,False,100.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.022,0.45999999999999996,0.02179231829941273,0.4588350474834442,7.017543859649122e-05,3.9215686274509805e-05,0.0003333333333333333,1607.6119999999999,6.33842460360701,0.0023832416566531775,100.0,4.604116371969953,0.9330370534502539,0.3441054402211051,33.55514,1950.0
syn4,False,False,100.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.414,0.126,0.4206108868122101,0.1150880590081215,0.2541270155515452,0.19379287448881657,0.41,36.668,3.354219455017484,0.6425256554046639,36.519999999999996,3.353596911500664,0.6406990746722718,0.0664459626228568,4.0012799999999995,1950.0
syn4,False,False,100.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.10600000000000001,0.40199999999999997,0.10357429236173629,0.4092754006385803,0.004858486510383388,0.002578403436813077,0.041999999999999996,1947.0639999999999,7.381199620896908,0.4594664479447932,100.0,4.605052780152234,0.9673523016996881,0.458813866566446,2e-05,1950.0
syn4,False,False,100.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.306,0.484,0.3048227667808533,0.4718814671039581,0.040028694816838774,0.03136109168072225,0.10366666666666666,1313.6960000000001,5.976976706770658,0.4096847848364179,80.576,3.896770029431567,0.41295729489002736,0.12813490682915174,0.0038,1950.0
syn4,False,False,100.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.305,0.37207111716270447,0.2712342068552971,0.2525674603174603,0.32133333333333336,0.21666666666666667,7.2299999999999995,1.91272327457971,1.0,7.2299999999999995,1.91272327457971,1.0,0.23541666666666666,2.2591,1950.0
syn4,False,True,1.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.4,0.10340346992015839,0.4078964710235596,0.07657142857142857,0.268,0.04466666666666666,22.048,2.018769530323835,0.14127527100057763,1.0,0.0,1.0,0.5,3.9257400000000002,1950.0
syn4,False,True,1.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.178,0.4,0.18997429609298705,0.40857299566268923,0.10914285714285714,0.382,0.06366666666666668,1938.372,7.086640865535186,0.011210759195660539,1.0,0.0,1.0,0.5,0.007239999999999999,1950.0
syn4,False,True,1.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.10200000000000001,0.4,0.10558754801750184,0.4086568534374237,0.07485714285714286,0.262,0.043666666666666666,22.048,2.0238692140966146,0.13141288696648024,1.0,0.0,1.0,0.5,3.2393799999999997,1950.0
syn4,False,True,1.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.41600000000000004,0.4,0.4145123302936554,0.40574384331703184,0.08914285714285715,0.312,0.052000000000000005,1309.568,5.775359243267156,0.3024567146765452,1.0,0.0,1.0,0.5,0.17309999999999998,1950.0
syn4,False,True,1.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.628,0.4,0.5833944976329803,0.40700846910476685,0.10914285714285714,0.382,0.06366666666666668,1883.304,7.4398136823713275,0.5876913375277433,1.0,0.0,1.0,0.5,0.07446,1950.0
syn4,False,True,1.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.21200000000000002,0.4,0.22482932209968567,0.4070006251335144,0.10057142857142858,0.352,0.058666666666666666,166.568,3.531875527610574,0.0011181376119064337,1.0,0.0,1.0,0.5,0.01386,1950.0
syn4,False,True,1.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.4,4.5371057240117806e-07,0.40857299566268923,0.0,0.0,0.0,1607.6119999999999,6.33842460360701,0.0023832416566531775,1.0,0.0,1.0,0.5,33.55514,1950.0
syn4,False,True,1.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.246,0.4,0.2531765580177307,0.4064281523227692,0.11200000000000002,0.392,0.06533333333333333,36.668,3.354219455017484,0.6425256554046639,1.0,0.0,1.0,0.5,4.0012799999999995,1950.0
syn4,False,True,1.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.4,7.2292087224923305e-06,0.4085730254650116,0.0005714285714285715,0.002,0.0003333333333333333,1947.0639999999999,7.381199620896908,0.4594664479447932,1.0,0.0,1.0,0.5,2e-05,1950.0
syn4,False,True,1.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.41600000000000004,0.4,0.4044105052947998,0.40835294127464294,0.02857142857142857,0.1,0.016666666666666666,1313.6960000000001,5.976976706770658,0.4096847848364179,1.0,0.0,1.0,0.5,0.0038,1950.0
syn4,False,True,1.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.20500000000000002,0.375,0.1822003871202469,0.39143596589565277,0.08714285714285713,0.305,0.05083333333333333,7.2299999999999995,1.91272327457971,1.0,1.0,0.0,1.0,0.5,2.2591,1950.0
syn4,False,True,5.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.33999999999999997,0.42200000000000004,0.328368616104126,0.423169219493866,0.21564848484848484,0.2581,0.18666666666666668,22.048,2.018769530323835,0.14127527100057763,5.0,1.5566926934246914,0.978927415290238,0.32608333333333334,3.9257400000000002,1950.0
syn4,False,True,5.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.362,0.418,0.3357622504234314,0.4102936089038849,0.259220202020202,0.33896666666666664,0.213,1938.372,7.086640865535186,0.011210759195660539,5.0,1.5449517251611629,0.690496654229787,0.20733333333333331,0.007239999999999999,1950.0
syn4,False,True,5.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.378,0.41200000000000003,0.35998972654342654,0.4116982161998749,0.21965252525252527,0.26353333333333334,0.19033333333333333,22.048,2.0238692140966146,0.13141288696648024,5.0,1.5602828628855296,0.9828156143786216,0.3357174603174603,3.2393799999999997,1950.0
syn4,False,True,5.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.32199999999999995,0.36066028773784636,0.33834474086761473,0.18039999999999998,0.27049999999999996,0.1353333333333333,1309.568,5.775359243267156,0.3024567146765452,5.0,1.6054489632069917,0.9754523904134402,0.28855,0.17309999999999998,1950.0
syn4,False,True,5.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.422,0.388,0.42290892601013186,0.37403637170791626,0.21935353535353536,0.26206666666666667,0.19,1883.304,7.4398136823713275,0.5876913375277433,5.0,1.5766824078611539,0.6943244002385376,0.3270928571428572,0.07446,1950.0
syn4,False,True,5.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.43999999999999995,0.33599999999999997,0.43665139079093934,0.31163573265075684,0.24266666666666667,0.364,0.182,166.568,3.531875527610574,0.0011181376119064337,5.0,1.5998153659926686,0.9162178083127049,0.25,0.01386,1950.0
syn4,False,True,5.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.004,0.40199999999999997,0.0033458283622167075,0.41054091453552244,0.0,0.0,0.0,1607.6119999999999,6.33842460360701,0.0023832416566531775,5.0,1.6094318874418465,0.9993122157641536,0.3827460317460317,33.55514,1950.0
syn4,False,True,5.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.32999999999999996,0.512,0.3263059228658676,0.4695979356765747,0.25555555555555554,0.3833333333333333,0.19166666666666665,36.668,3.354219455017484,0.6425256554046639,5.0,1.6087707911677387,0.9871688462706235,0.28819999999999996,4.0012799999999995,1950.0
