dataset,explainer_name,num_test_nodes,gpu,f1_score_top,recall_top,precision_top,ged,auc_top,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn4,distance,200.0,1.0,0.6267121212121212,0.615,0.6409166666666667,-1.0,-1.0,0.012320328542094456,1.0,0.006198347107438017,-1.0,1.0,0.0,0.9836810231208801,0.0,0.004938014317303896,1926.44,0.0093,1936.0,0.0049380165289256185,1926.44
syn4,gnnexplainer,200.0,1.0,0.6036969696969696,0.5883333333333333,0.6223333333333333,-1.0,-1.0,0.7919552651361441,1.0,0.672603986699575,-1.0,1.0,0.0,0.9836810231208801,0.0,0.9901084899902344,19.15,5.5851,1936.0,0.9901084710743808,19.15
syn4,ig_node,200.0,1.0,0.858530303030303,0.855,0.8631666666666667,-1.0,-1.0,0.2451433628260721,1.0,0.19190972351116492,-1.0,1.0,0.0,0.9836810231208801,0.0,0.3427065908908844,1272.52,0.295,1936.0,0.34270661157024773,1272.52
syn4,occlusion,200.0,1.0,0.6071212121212122,0.605,0.6096666666666667,-1.0,-1.0,0.012320328542094456,1.0,0.006198347107438017,-1.0,1.0,0.24,0.983686089515686,0.23555417358875275,0.001082138391211629,1933.905,0.0784,1936.0,0.0010821280991735272,1933.905
syn4,pagerank,200.0,1.0,0.8391666666666667,0.8391666666666667,0.8391666666666667,-1.0,-1.0,0.012335464961364244,1.0,0.006206009493406642,-1.0,1.0,0.0,0.9836810231208801,0.0,0.0012345159193500876,1933.61,0.0152,1936.0,0.0012345041322313892,1933.61
syn4,pgmexplainer,200.0,1.0,0.9346666666666666,0.9133333333333333,0.9634166666666667,-1.0,-1.0,0.644664714306742,1.0,0.4948179740629616,-1.0,1.0,0.0,0.9836810231208801,0.0,0.9856507778167725,27.78,6.8016,1936.0,0.9856508264462811,27.78
syn4,random,200.0,1.0,0.006666666666666666,0.006666666666666666,0.006666666666666666,-1.0,-1.0,0.012320328542094456,1.0,0.006198347107438017,-1.0,1.0,0.0,0.9836810231208801,0.0006453546811826527,0.0005165338516235352,1935.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,sa_node,200.0,1.0,0.14272727272727273,0.1408333333333333,0.145,-1.0,-1.0,0.009900301980637714,0.8025,0.004980875089121121,-1.0,1.0,0.345,0.9780331254005432,0.3356625437736511,0.0014049720484763384,1933.28,0.0057,1936.0,0.001404958677685948,1933.28
syn4,subgraphx,200.0,1.0,0.5709090909090908,0.5491666666666667,0.6002500000000001,-1.0,-1.0,0.7118181818181817,0.6041666666666667,0.87,-1.0,1.0,1.0,0.9836810231208801,0.9472160339355469,0.9956507682800293,8.42,0.3401,1936.0,0.9956508264462834,8.42
syn5,distance,200.0,1.0,0.6748122529644269,0.6583333333333334,0.6934545454545455,-1.0,-1.0,0.013978153471455743,1.0,0.0070382677295444205,-1.0,1.0,0.0,0.8674599528312683,0.0,0.0011510252952575684,3406.075,0.0162,3410.0,0.0011510263929618964,3406.075
syn5,gnnexplainer,200.0,1.0,0.6216946640316204,0.5954166666666667,0.6524671717171716,-1.0,-1.0,0.7787586877279622,0.9275,0.6977989939560802,-1.0,1.0,0.0,0.8674599528312683,0.0,0.9896891713142395,35.16,5.233,3410.0,0.98968914956012,35.16
syn5,ig_node,200.0,1.0,0.8067355072463769,0.7979166666666666,0.817219696969697,-1.0,-1.0,0.5189860065509281,0.9979166666666666,0.4139722518198562,-1.0,1.0,0.03,0.8674599528312683,0.017587479203939438,0.7485894560813904,857.31,0.3296,3410.0,0.7485894428152494,857.31
syn5,occlusion,200.0,1.0,0.2778030303030303,0.2766666666666666,0.2790757575757576,-1.0,-1.0,0.013977868375072802,1.0,0.0070381231671554235,-1.0,1.0,0.0,0.8674599528312683,0.0,0.002387094544246793,3401.86,0.1609,3410.0,0.002387096774193546,3401.86
syn5,pagerank,200.0,1.0,0.8532872200263506,0.8516666666666666,0.8552121212121213,-1.0,-1.0,0.013990541928852804,1.0,0.0070445495078151074,-1.0,1.0,0.0,0.8674599528312683,0.0,0.0009120226022787392,3406.89,0.0219,3410.0,0.0009120234604105837,3406.89
syn5,pgmexplainer,200.0,1.0,0.8319219367588931,0.8225,0.8427954545454546,-1.0,-1.0,0.6510465031881274,1.0,0.5111380741895181,-1.0,1.0,0.0,0.8674599528312683,0.0,0.9833402037620544,56.81,9.68,3410.0,0.98334017595308,56.81
syn5,random,200.0,1.0,0.009583333333333333,0.009583333333333333,0.009583333333333333,-1.0,-1.0,0.013977868375072802,1.0,0.0070381231671554235,-1.0,1.0,0.005,0.8674599528312683,0.004491480998694897,0.0002932548522949219,3409.0,0.0001,3410.0,0.0002932551319647647,3409.0
syn5,sa_node,200.0,1.0,0.8359832015810277,0.8320833333333334,0.8405227272727274,-1.0,-1.0,0.6510465031881274,1.0,0.5111380741895181,-1.0,1.0,0.0,0.8674599528312683,0.0,0.9833402037620544,56.81,0.0062,3410.0,0.98334017595308,56.81
syn5,subgraphx,200.0,1.0,0.4868913984566159,0.4729166666666667,0.5038345959595959,-1.0,-1.0,0.6223446395477962,0.4875,0.899074494949495,-1.0,1.0,0.775,0.8685544729232788,0.5949947237968445,0.99617600440979,13.04,3.6071,3410.0,0.9961759530791813,13.04
syn6,distance,200.0,1.0,0.7246666666666667,0.7239999999999999,0.7254999999999999,-1.0,-1.0,0.0051112964563215105,1.0,0.002562196920724116,-1.0,0.615,0.0,0.5677747130393982,0.0,0.034868285059928894,3810.34,0.0176,3948.0,0.034868287740628175,3810.34
syn6,gnnexplainer,200.0,1.0,0.20422222222222225,0.20400000000000001,0.20450000000000002,-1.0,-1.0,0.3482249016511822,1.0,0.22779728476021177,-1.0,0.615,0.0,0.5677747130393982,0.0,0.9436727166175842,222.38,5.4235,3948.0,0.9436727456940218,222.38
syn6,ig_node,200.0,1.0,0.19922222222222224,0.198,0.20075000000000004,-1.0,-1.0,0.004309046869410984,0.8500000000000001,0.0021599991022630692,-1.0,0.18,0.455,0.20208854973316193,0.3865501284599304,0.002768482780084014,3937.07,0.2812,3948.0,0.0027684903748733318,3937.07
syn6,occlusion,200.0,1.0,0.023000000000000003,0.023,0.023,-1.0,-1.0,0.005053057099545225,1.0,0.002532928064842958,-1.0,1.0,0.005,0.8698319792747498,-0.0366903655230999,0.00027991205570288,3946.895,0.6272,3948.0,0.00027988855116518386,3946.895
syn6,pagerank,200.0,1.0,0.6635555555555552,0.5989999999999999,0.7442500000000001,-1.0,-1.0,0.005055611729019209,1.0,0.0025342118601115048,-1.0,0.615,0.0,0.5677747130393982,0.0,0.0005065798759460449,3946.0,0.0234,3948.0,0.0005065856129685686,3946.0
syn6,pgmexplainer,200.0,1.0,0.3813333333333334,0.36300000000000004,0.40425,-1.0,-1.0,0.05373383531222165,0.9990000000000001,0.02792794801137547,-1.0,0.615,0.0,0.5677747130393982,-0.0006463062600232661,0.8083333373069763,756.7,5.2963,3948.0,0.8083333333333327,756.7
syn6,random,200.0,1.0,0.006000000000000001,0.006000000000000001,0.006000000000000001,-1.0,-1.0,0.005053057099545225,1.0,0.002532928064842958,-1.0,0.615,0.0,0.5677747130393982,-0.00035361797199584544,0.00025331974029541016,3947.0,0.0001,3948.0,0.00025329280648433983,3947.0
syn6,sa_node,200.0,1.0,0.11322222222222222,0.10899999999999999,0.1185,-1.0,-1.0,0.0035699906866272545,0.706,0.0017895198259669845,-1.0,0.605,0.03,0.5544496178627014,0.047457996755838394,0.0007472053403034806,3945.05,0.0055,3948.0,0.0007472137791286387,3945.05
syn6,subgraphx,200.0,1.0,0.6793333333333333,0.655,0.70975,-1.0,-1.0,0.7602777777777777,0.73,0.80375,-1.0,0.595,0.02,0.5542171597480774,0.026919640600681305,0.9927178025245667,28.75,3.8347,3948.0,0.9927178318135765,9.01
