dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
actor,False,False,0.7,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.8320000000000001,0.754,0.17877508252859114,0.17655884474515915,0.9709446370601654,1769.9950000000001,1769.9950000000001,5.012215994991617,0.06678591899797404,1769.9950000000001,5.012215994991617,0.06678591899797404,3.74456,60918.0,0.9709446304868841,1769.9950000000001
actor,False,False,0.7,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.773,0.6990000000000001,0.17380332797765732,0.15336242616176604,0.8229631423950196,10784.729,35346.504,8.168174080586713,0.11636329199613445,10784.729,7.460699007152182,0.11911662615985372,0.0053,60918.0,0.4197691322761747,35346.504
actor,False,False,0.7,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.825,0.654,0.17988612055778502,0.14276142194867134,0.7087640225887298,17741.507,59053.126000000004,10.742004079304433,0.18547557742262105,17741.507,9.559611147245363,0.19005920939659307,0.24203000000000002,60918.0,0.030612856626941097,59053.126000000004
actor,False,False,0.7,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.859,0.144,0.19481810480356215,0.05487191155552864,0.9709446251392364,1769.9959999999999,1769.9959999999999,6.102230872901976,0.8415122570329364,1769.9959999999999,6.102230872901976,0.8415122570329364,3.4825600000000003,60918.0,0.9709446140713748,1769.9959999999999
actor,False,False,0.7,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.763,0.689,0.17048838138580322,0.149097540974617,0.7538360238075257,14995.814999999999,17102.845999999998,8.567082397067887,0.0018793424549053313,14995.814999999999,8.513772990090665,0.0020297643331258775,0.84328,60918.0,0.7192480711776487,17102.845999999998
actor,False,False,0.7,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.8370000000000001,0.61,0.18339053094387053,0.12664726004004478,0.8945059895515441,6426.485,6624.210000000001,7.774606529655403,0.24288721006210104,6426.485,7.770017706487209,0.24529786457210512,36.04196,60918.0,0.8912602186545848,6624.210000000001
actor,False,False,0.7,random,100.0,-1.0,-1.0,-1.0,-1.0,0.8220000000000001,0.8539999999999999,0.19348683208227158,0.19593037962913512,0.7000064849853516,18275.0,60855.971,10.824150478608555,0.5029355975396914,18275.0,9.80808128055892,0.8447693690272751,0.00059,60918.0,0.0010182376309136871,60855.971
actor,False,False,0.7,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.595,0.454,0.14050989374518394,0.07726764306426048,0.7967077493667603,12384.154,32348.798,9.190020576520215,0.5558703426029308,12384.154,8.628981943069247,0.5622273563568261,0.02368,60918.0,0.4689780032174399,32348.798
actor,False,False,0.99,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.71,0.7060000000000001,0.16614353507757187,0.15515995845198632,0.9900029897689819,609.0,60913.117000000006,10.958437063433099,0.11757938133309491,609.0,6.375493068237267,0.29170288036315545,0.7235400000000001,60918.0,8.015693226961495e-05,60913.117000000006
actor,False,False,0.99,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.8390000000000001,0.754,0.17753690034151076,0.1774783931672573,0.993927401304245,369.932,1769.9950000000001,5.012484449670525,0.06183345326551165,369.932,4.500119015403904,0.12119053955727033,3.7736000000000005,60918.0,0.9709446304868841,1769.9950000000001
actor,False,False,0.99,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.8140000000000001,0.656,0.1770629659295082,0.14298961013555528,0.9902110040187836,596.327,59053.126000000004,10.742004079304433,0.18547557742262105,596.327,6.213929998590993,0.24321468917060457,0.24406,60918.0,0.030612856626941097,59053.126000000004
actor,False,False,0.99,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.907,0.11699999999999999,0.20591098666191102,0.0615785863250494,0.9939273834228516,369.933,1769.9959999999999,6.102230872901976,0.8415122570329364,369.933,5.446338391747806,0.8417614465894625,3.4687400000000004,60918.0,0.9709446140713748,1769.9959999999999
actor,False,False,0.99,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.753,0.6900000000000001,0.16941970735788345,0.1499948285520077,0.9900029897689819,609.0,17102.845999999998,8.567082397067887,0.0018793424549053313,609.0,5.880657505543947,0.055813083323726476,0.81519,60918.0,0.7192480711776487,17102.845999999998
actor,False,False,0.99,random,100.0,-1.0,-1.0,-1.0,-1.0,0.768,0.858,0.1791899986565113,0.19022608548402786,0.9900029897689819,609.0,60855.971,10.824150478608555,0.5029355975396914,609.0,6.411814051835806,0.9943441341380647,0.00061,60918.0,0.0010182376309136871,60855.971
actor,False,False,0.99,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.55,0.5389999999999999,0.13158838152885438,0.09914268478751183,0.9905501902103424,575.664,32348.798,9.190020576520215,0.5558703426029308,575.664,6.237643309824012,0.7511377299928197,0.02288,60918.0,0.4689780032174399,32348.798
actor,False,False,0.997,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.834,0.763,0.17912435233592988,0.1774977296590805,0.9976114869117737,145.496,1769.9950000000001,5.005072293960419,0.05689687484390066,145.496,3.8766356352953038,0.2143661596504079,3.7940899999999997,60918.0,0.9709446304868841,1769.9950000000001
actor,False,False,0.997,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.796,0.6599999999999999,0.17361162900924682,0.14337853714823723,0.997049742937088,179.707,59053.126000000004,10.742004079299011,0.18547557740641163,179.707,5.040516295142501,0.2982554871241327,0.25516,60918.0,0.030612856626941097,59053.126000000004
actor,False,False,0.997,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.9269999999999999,0.152,0.20946800857782363,0.06593653261661529,0.9976114749908447,145.497,1769.9959999999999,6.102230872901976,0.8415122570329364,145.497,4.78277798822991,0.8420935321010653,3.46809,60918.0,0.9709446140713748,1769.9959999999999
actor,False,False,0.997,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.748,0.6900000000000001,0.16894831508398056,0.15026062056422235,0.9970120787620544,182.0,17102.845999999998,8.567082397067887,0.0018793424549053313,182.0,4.726802872432033,0.08463398564425993,0.8461399999999999,60918.0,0.7192480711776487,17102.845999999998
actor,False,False,0.997,random,100.0,-1.0,-1.0,-1.0,-1.0,0.765,0.858,0.17866824045777321,0.18994862735271453,0.9970120787620544,182.0,60855.971,10.824150478608555,0.5029355975396914,182.0,5.204006308913991,0.9981657170947809,0.00056,60918.0,0.0010182376309136871,60855.971
actor,False,True,0.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.859,0.613,0.18988644778728486,0.40478327572345735,0.9709446251392364,1769.9959999999999,1769.9959999999999,5.672103220518036,0.7158805954989996,1769.9959999999999,5.672103220518036,0.7158805954989996,3.8631300000000004,60918.0,0.9709446140713748,1769.9959999999999
