dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test_x,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,num_test_init,mask_size_init,mask_entropy_init,max_avg_init,num_test_transf,mask_size_transf,mask_entropy_transf,max_avg_transf,num_test_y,time,number_of_edges
actor,False,False,20.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.09,0.41,0.023401504382491112,0.09929856657981873,100.0,1208.43,5.300965852400096,0.6968892712283418,100.0,19.56,2.70033082404873,0.7996439994749076,100.0,3.827,60918.0
actor,False,False,20.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.28,0.34,0.06551932543516159,0.06895902007818222,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,20.0,2.925430429939193,0.5129960780423278,100.0,0.8971,60918.0
actor,False,False,20.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.37,0.09067297726869583,0.06721410900354385,100.0,1208.43,4.69075435832716,0.05112460597643841,100.0,19.56,2.1422986851429853,0.22027724042018415,100.0,7.4523,60918.0
actor,False,False,20.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.46,0.31,0.08643847703933716,0.05483071506023407,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,19.24,2.656750134630239,0.30241969818220205,100.0,0.0079,60918.0
actor,False,False,20.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.4,0.17279355227947235,0.14093869924545288,100.0,60917.0,11.01476696813395,0.36380117192274913,100.0,20.0,2.932798828774713,0.5558926639362861,100.0,0.3854,60918.0
actor,False,False,20.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.71,0.2,0.10929267853498459,0.04709054281314214,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,19.4,2.805479102425557,0.49599337872869803,100.0,2.8098,60918.0
actor,False,False,20.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.31,0.3,0.08114489912986755,0.05658234283328056,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,20.0,2.8427852704494647,0.3288817443698441,100.0,0.9544,60918.0
actor,False,False,20.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.32,0.05915221571922302,0.06062495335936546,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,19.98,2.984896084754755,0.8050784684744714,100.0,53.0106,60918.0
actor,False,False,20.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.8,0.0,0.18539269268512726,0.11172384023666382,100.0,43841.5,9.959901408525296,0.7147165552001702,100.0,20.0,2.988953773247831,0.9240325456142425,100.0,0.0374,60918.0
actor,False,False,20.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.3333333333333333,0.04175779968500137,0.07060451060533524,100.0,1.2,0.09241962407465937,1.0,100.0,1.2,0.09241962407465937,1.0,100.0,2282.6549,60918.0
actor,False,False,25.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.41,0.024302097037434578,0.09862188249826431,100.0,1208.43,5.300965852400096,0.6968892712283418,100.0,24.18,2.8642196288820463,0.7693054151482872,100.0,3.827,60918.0
actor,False,False,25.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.31,0.33,0.06572206318378448,0.06749895215034485,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,25.0,3.1489317991873547,0.49713487433862424,100.0,0.8971,60918.0
actor,False,False,25.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.37,0.09053236246109009,0.06760076433420181,100.0,1208.43,4.69075435832716,0.05112460597643841,100.0,24.18,2.2658795955558966,0.20257669952642157,100.0,7.4523,60918.0
actor,False,False,25.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.31,0.08677081018686295,0.05449807271361351,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,23.71,2.83094869752158,0.27994050249544833,100.0,0.0079,60918.0
actor,False,False,25.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.4,0.17279355227947235,0.14370812475681305,100.0,60917.0,11.01476696813395,0.36380117192274913,100.0,25.0,3.1555149073462703,0.5495137081307835,100.0,0.3854,60918.0
actor,False,False,25.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.72,0.18,0.11046086996793747,0.04626056427756945,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,24.0,3.015185980887588,0.4919669728459532,100.0,2.8098,60918.0
actor,False,False,25.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.3,0.3,0.08118032664060593,0.05678476020693779,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,25.0,3.034173721104058,0.3013571105957375,100.0,0.9544,60918.0
actor,False,False,25.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.18,0.32,0.061176978051662445,0.058359745889902115,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,24.93,3.203317945656336,0.7855367151453284,100.0,53.0106,60918.0
