dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test_x,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,num_test_init,mask_size_init,mask_entropy_init,max_avg_init,num_test_transf,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio,num_test_y,time,number_of_edges
actor,False,False,10.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.586,0.124,0.10268186777830124,0.043849766999483106,100.0,1672.45,5.92559470922488,0.4763237731254383,100.0,9.946,2.145201256513859,0.5311115305264239,0.16276579531579533,100.0,4.09246,60918.0
actor,False,False,10.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.176,0.296,0.05268978214262461,0.06970747634768486,100.0,16935.738,8.549755457497303,0.0020192287730140175,100.0,10.0,2.233798357156674,0.467493816237721,0.1924666666666667,100.0,0.88398,60918.0
actor,False,False,10.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.02,0.41200000000000003,0.009712442569434643,0.09801892340183258,100.0,716.5959999999999,4.781325241286612,0.04003723587106579,100.0,9.958,2.2616008726381938,0.6454604749200538,0.9085721500721501,100.0,0.65502,60918.0
actor,False,False,10.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.17,0.26999999999999996,0.0455334410071373,0.07172783464193344,100.0,6354.61,7.690641603094939,0.22860147181225732,100.0,9.966,2.2896570971098007,0.8729595762861638,0.7111666666666666,100.0,55.812979999999996,60918.0
actor,False,False,10.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.24699999999999997,0.356,0.04781703511252999,0.1188952498137951,100.0,60856.35800000002,10.824127030536014,0.5060825271054753,100.0,10.0,2.3025850916752026,0.9998750355461314,0.5303113820089439,100.0,0.0006,60918.0
actor,False,False,10.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.45999999999999996,0.1,0.12467027828097343,0.08369897454977035,100.0,27882.98,8.969567860269887,0.47558345241261807,100.0,10.0,2.298301988279837,0.9207420477469432,0.22463852813852814,100.0,0.03968,60918.0
actor,False,False,10.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.05,0.15,0.023061557905748487,0.07796215452253819,100.0,2.5,0.5075173815233827,1.0,100.0,2.5,0.5075173815233827,1.0,0.825,100.0,3453.2971000000002,60918.0
actor,False,False,15.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.036,0.348,0.010549943059595534,0.11068056374788285,100.0,1841.256,5.728820744278332,0.725068272837227,100.0,14.756,2.4908854917163135,0.8733958834872924,0.3987048239103165,100.0,5.6623,60918.0
actor,False,False,15.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.21200000000000002,0.282,0.04887436665594578,0.07812259942293168,100.0,60913.63999999999,10.959247404099623,0.11622739333345829,100.0,15.0,2.6411037119453242,0.6002902130832128,0.07345355477855477,100.0,0.79156,60918.0
actor,False,False,15.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.46799999999999997,0.298,0.08279740661382676,0.07971383929252625,100.0,1672.486,5.04743683104715,0.05901084398647379,100.0,14.752,1.8361889498573016,0.25282723695444753,0.13736102891776264,100.0,4.56018,60918.0
actor,False,False,15.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.42000000000000004,0.252,0.07584127336740494,0.053481193631887435,100.0,33070.77,7.954254141961384,0.151472081932289,100.0,14.64,2.477780707988622,0.37636317286563703,0.14058241203241204,100.0,0.00598,60918.0
actor,False,False,15.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.36,0.11076230462640524,0.11182240843772888,100.0,51363.979999999996,10.405149210746501,0.24284995150386274,100.0,15.0,2.6462999507753198,0.557336285606852,0.2151096681096681,100.0,0.35788000000000003,60918.0
actor,False,False,15.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.61,0.10200000000000001,0.10794266164302826,0.040138010680675504,100.0,1672.45,5.92559470922488,0.4763237731254383,100.0,14.73,2.5243903107429553,0.5092726432911914,0.1296430991179443,100.0,4.09246,60918.0
actor,False,False,15.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.186,0.304,0.05576758205888836,0.06716481521725655,100.0,16935.738,8.549755457497303,0.0020192287730140175,100.0,15.0,2.599482461421746,0.3991738164891682,0.14268888888888887,100.0,0.88398,60918.0
actor,False,False,15.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.028000000000000004,0.41200000000000003,0.010977353155612945,0.09702086001634598,100.0,716.5959999999999,4.781325241286612,0.04003723587106579,100.0,14.752,2.6305641950803937,0.5829096870568543,0.8778250166500168,100.0,0.65502,60918.0
actor,False,False,15.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.182,0.256,0.04973103329539299,0.06846556439995766,100.0,6354.61,7.690641603094939,0.22860147181225732,100.0,14.922,2.6882443358883132,0.8342469119159466,0.6429837884337883,100.0,55.812979999999996,60918.0
actor,False,False,15.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.24699999999999997,0.356,0.04782080692239106,0.1188952498137951,100.0,60856.35800000002,10.824127030536014,0.5060825271054753,100.0,15.0,2.708050198278067,0.9998286941423753,0.5286474808261316,100.0,0.0006,60918.0
actor,False,False,15.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.08,0.12501534447073936,0.08157109543681144,100.0,27882.98,8.969567860269887,0.47558345241261807,100.0,15.0,2.7003655786072454,0.9065202611778899,0.18533436008436005,100.0,0.03968,60918.0
actor,False,False,15.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.05,0.15,0.023061557905748487,0.07796215452253819,100.0,2.5,0.5075173815233827,1.0,100.0,2.5,0.5075173815233827,1.0,0.825,100.0,3453.2971000000002,60918.0
actor,False,False,20.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.042,0.346,0.011499972525780323,0.10985052734613418,100.0,1841.256,5.728820744278332,0.725068272837227,100.0,19.458000000000002,2.7104108271728817,0.8265882469109549,0.3684706303815463,100.0,5.6623,60918.0
actor,False,False,20.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.22400000000000003,0.272,0.05015337541699409,0.07647372633218766,100.0,60913.63999999999,10.959247404099623,0.11622739333345829,100.0,20.0,2.925430911834159,0.5263581032948531,0.055265944787926215,100.0,0.79156,60918.0
actor,False,False,20.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.462,0.296,0.08293275088071823,0.07852475643157959,100.0,1672.486,5.04743683104715,0.05901084398647379,100.0,19.438000000000002,1.9988368792959026,0.20586916975159641,0.12235312777579033,100.0,4.56018,60918.0
actor,False,False,20.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.418,0.256,0.07706568986177445,0.052589301764965055,100.0,33070.77,7.954254141961384,0.151472081932289,100.0,19.264,2.7091512057494254,0.34096810494208946,0.1136507649299445,100.0,0.00598,60918.0
actor,False,False,20.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.36000000000000004,0.11076508220285178,0.11263710111379624,100.0,51363.979999999996,10.405149210746501,0.24284995150386274,100.0,20.0,2.927553745335213,0.5259214926527493,0.1792791522203287,100.0,0.35788000000000003,60918.0
actor,False,False,20.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.6199999999999999,0.076,0.11015411019325257,0.038644852489233016,100.0,1672.45,5.92559470922488,0.4763237731254383,100.0,19.406,2.7939773989535697,0.49689084356129615,0.10934603416550245,100.0,4.09246,60918.0
actor,False,False,20.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.192,0.30599999999999994,0.057356483042258335,0.06595796272158623,100.0,16935.738,8.549755457497303,0.0020192287730140175,100.0,20.0,2.849866696079474,0.3481839697977115,0.11123484848484848,100.0,0.88398,60918.0
actor,False,False,20.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.03,0.41200000000000003,0.011700478009879589,0.0964464157819748,100.0,716.5959999999999,4.781325241286612,0.04003723587106579,100.0,19.438000000000002,2.880087936086892,0.5340240940575329,0.8534731150514432,100.0,0.65502,60918.0
actor,False,False,20.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.186,0.256,0.0516979917883873,0.06585528403520584,100.0,6354.61,7.690641603094939,0.22860147181225732,100.0,19.864000000000004,2.9704952310054153,0.8110714944549773,0.5943575800016976,100.0,55.812979999999996,60918.0
actor,False,False,20.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.24899999999999994,0.356,0.048022459354251625,0.11890862062573433,100.0,60856.35800000002,10.824127030536014,0.5060825271054753,100.0,20.0,2.995732268666231,0.9997770718317419,0.5275340616360742,100.0,0.0006,60918.0
actor,False,False,20.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.06000000000000001,0.12725830152630807,0.07975985556840896,100.0,27882.98,8.969567860269887,0.47558345241261807,100.0,20.0,2.982772781959472,0.884179309033863,0.1568209629208081,100.0,0.03968,60918.0
actor,False,False,20.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.05,0.15,0.023061557905748487,0.07796215452253819,100.0,2.5,0.5075173815233827,1.0,100.0,2.5,0.5075173815233827,1.0,0.825,100.0,3453.2971000000002,60918.0
