dataset,sparsity,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn3,0.99,ig_node,100.0,1.0,0.0,0.0,0.0,0.49505537974683556,0.0,0.0,-0.0005686217336915433,0.01837414689362049,0.9901574850082397,50.0,0.2006,5080.0,0.0004921259842519365,5077.5
syn3,0.99,occlusion,100.0,1.0,0.33411135555582305,0.5683333333333334,0.24182346479583852,0.7388945065268986,0.0,0.0,-0.0003826588508673012,0.015695758163928986,0.990346372127533,49.04,0.3619,5080.0,0.06825984251968502,4733.24
syn3,0.99,pagerank,100.0,1.0,0.645064011379801,0.995,0.47723076923076924,0.9973355089662448,0.0,0.0,0.01837414689362049,-0.0018252688460052013,0.9901574850082397,50.0,0.0258,5080.0,0.0006023622047243993,5076.94
syn3,0.99,pgmexplainer,100.0,1.0,0.5809385040888873,0.7708333333333333,0.49215248099916126,0.8838938884493669,0.0,0.0,0.016140766441822052,-0.0027801126707345247,0.9917755126953125,41.78,5.0842,5080.0,0.9246338582677166,382.86
syn3,0.99,random,100.0,1.0,0.007763088313061871,0.019999999999999997,0.004816326530612245,0.5002971304720465,0.0,0.0,-0.0007560330559499562,0.017918676137924194,0.9901574850082397,50.0,0.0,5080.0,0.00019685039370076485,5079.0
syn3,0.99,sa_node,100.0,1.0,0.0,0.0,0.0,0.49505537974683556,0.0,0.0,0.0,0.01837414689362049,0.9901574850082397,50.0,0.0055,5080.0,0.0006417322834645511,5076.74
syn3,0.99,subgraphx,100.0,1.0,0.7153553146603625,0.6099999999999999,0.9176751026751027,-1.0,0.0,0.0,0.01661108061671257,-0.0036949641071259975,0.9966771602630615,16.88,0.8435,5080.0,0.9768740157480325,15.88
syn3,0.997,distance,100.0,1.0,0.7824150686672425,0.73,0.8480842490842491,0.77233971189346,0.0,0.0,0.016923055052757263,-0.0035882270894944668,0.9970473647117615,15.0,0.0192,5080.0,0.009295275590551174,5032.78
syn3,0.997,gnnexplainer,100.0,1.0,0.6648753240318456,0.635,0.7035198135198136,0.7197624934071734,0.0,0.0,0.00187539157923311,0.001597505179233849,0.9970473647117615,15.0,2.5682,5080.0,0.9721535433070868,141.46
syn3,0.997,ig_node,100.0,1.0,0.0,0.0,0.0,0.4985166139240507,0.0,0.0,-0.00024062216107267886,0.01837414689362049,0.9970473647117615,15.0,0.2007,5080.0,0.0004921259842519365,5077.5
syn3,0.997,occlusion,100.0,1.0,0.35902958217306036,0.36416666666666664,0.35555638805638806,0.6040359226661393,0.0,0.0,-0.0002703666687011719,0.01837414689362049,0.9970473647117615,15.0,0.4587,5080.0,0.068255905511811,4733.26
syn3,0.997,pagerank,100.0,1.0,0.7809999999999998,0.6508333333333334,0.97625,0.805171166271097,0.0,0.0,0.01837414689362049,-0.004249983467161655,0.9970473647117615,15.0,0.0261,5080.0,0.0006023622047243993,5076.94
syn3,0.997,pgmexplainer,100.0,1.0,0.5530173160173161,0.4616666666666667,0.6896944444444445,0.7193832410337554,0.0,0.0,0.013145966455340385,-0.0032703811302781105,0.9970473647117615,15.0,8.5539,5080.0,0.9268622047244094,371.54
syn3,0.997,random,100.0,1.0,0.0044444444444444444,0.005,0.004,0.4997731243407174,0.0,0.0,-7.984697731444612e-05,0.01837414689362049,0.9970473647117615,15.0,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,0.997,sa_node,100.0,1.0,0.0,0.0,0.0,0.4985166139240507,0.0,0.0,0.0,0.01837414689362049,0.9970473647117615,15.0,0.0041,5080.0,0.0006417322834645511,5076.74
syn3,0.997,subgraphx,100.0,1.0,0.6986272388714173,0.5783333333333333,0.9200367965367966,-1.0,0.0,0.0,0.01273000705987215,-0.0038848458789288998,0.9973267316818237,13.58,0.8334,5080.0,0.9768740157480325,15.88
syn4,0.0,distance,100.0,1.0,0.012320328542094458,1.0,0.0061983471074380184,0.998533437283437,1.0,0.0,0.9844945669174194,0.0,0.004979335702955723,1926.36,0.0072,1936.0,0.004979338842975205,1926.36
syn4,0.0,gnnexplainer,100.0,1.0,0.7796968542069497,1.0,0.6539945789504614,0.9981256496881497,1.0,0.0,0.9844944477081299,0.0,0.989886462688446,19.58,5.5196,1936.0,0.9898863636363642,19.58
syn4,0.0,ig_node,100.0,1.0,0.24670894521552825,1.0,0.18817617809425471,0.9978941441441439,1.0,0.0,0.9844945669174194,0.0,0.35747936367988586,1243.92,0.1812,1936.0,0.35747933884297495,1243.92
syn4,0.0,occlusion,100.0,1.0,0.012320328542094458,1.0,0.0061983471074380184,0.44530903499653507,1.0,0.27,0.9844996929168701,0.26101988554000854,0.0010743903694674373,1933.92,0.0669,1936.0,0.0010743801652892315,1933.92
syn4,0.0,pagerank,100.0,1.0,0.012335147754812027,1.0,0.006205848914809842,0.9994525294525296,1.0,0.0,0.9844944477081299,0.0,0.0012086891802027822,1933.66,0.018,1936.0,0.0012086776859503957,1933.66
syn4,0.0,pgmexplainer,100.0,1.0,0.6259083472937177,1.0,0.47261265945209274,0.9999073111573111,1.0,0.0,0.9844945669174194,0.0,0.9850826263427734,28.88,4.4323,1936.0,0.985082644628099,28.88
