,balanced_acc,dataset,datatype,explainer,f1_score,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,num_explained_y_with_acc,precision,pred_type,recall,roc_auc_score,time,top_balanced_acc,top_f1_score,top_precision,top_recall,top_roc_auc_score,topk,seed,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device
2560,0.4781430499325236,ba_2motifs,binary,sa,0.3412117961756449,,,,,model,3.758123477055215,hard,48.63,0.0471629698033059,0.4407065836337753,gin,100,100,0.2097039045374548,mix,0.9201282051282051,0.5870693043798307,0.0019,0.6500546098638204,0.4551184725097768,0.4354820179820179,0.4766223776223775,0.6680975141086983,,1,0.56,0.0,0.498565137386322,0.0386666432023048,
2561,0.5840990675990676,ba_2motifs,binary,sa,0.2893260073260073,,,,,model,0.6926792158294558,hard,2.0,0.9607911964785916,0.989919246901867,gin,100,100,0.94,mix,0.1711981351981352,0.5840990675990676,0.0019,0.5840990675990676,0.2893260073260073,0.94,0.1711981351981352,0.5840990675990676,1.0,1,0.89,0.46,0.8721725344657898,0.5233805775642395,
2562,0.599565268065268,ba_2motifs,binary,sa,0.3373827838827838,,,,,model,1.09451745961015,hard,3.0,0.9411867947178868,0.988368380652688,gin,100,100,0.78,mix,0.2156305361305361,0.6005944347319346,0.0019,0.599565268065268,0.3373827838827838,0.78,0.2156305361305361,0.6005944347319346,2.0,1,0.92,0.08,0.890133261680603,0.3344441950321197,
2563,0.6150314685314686,ba_2motifs,binary,sa,0.3786260504201681,,,,,model,1.381144779643282,hard,4.0,0.9215823929571826,0.8346885462534714,gin,100,100,0.7,mix,0.260062937062937,0.6170898018648019,0.0019,0.6150314685314686,0.3786260504201681,0.7,0.260062937062937,0.6170898018648019,3.0,1,0.92,0.0,0.8992660045623779,0.242176353931427,
2564,0.6204976689976691,ba_2motifs,binary,sa,0.3930767973856208,,,,,model,1.6000948227229128,hard,5.0,0.9019779911964798,0.826486901472474,gin,100,100,0.62,mix,0.288495337995338,0.624385168997669,0.0019,0.6204976689976691,0.3930767973856208,0.62,0.288495337995338,0.624385168997669,4.0,1,0.92,0.0,0.9056888818740844,0.2235716581344604,
2565,0.6259638694638693,ba_2motifs,binary,sa,0.4057524939800481,,,,,model,1.7801579175180475,hard,6.0,0.8823735894357749,0.7278655028315579,gin,100,100,0.5666666666666667,mix,0.3169277389277389,0.6316805361305361,0.0019,0.6259638694638693,0.4057524939800481,0.5666666666666667,0.3169277389277389,0.6316805361305361,5.0,1,0.93,0.0,0.9139012694358826,0.1524972468614578,
2566,0.6360805422647529,ba_2motifs,binary,sa,0.4256212590299276,,,,,model,1.930429770269803,hard,7.0,0.8627691876750693,0.7218363117785196,gin,100,100,0.5385714285714286,mix,0.3529242424242424,0.6430621043430255,0.0019,0.6360805422647529,0.4256212590299276,0.5385714285714286,0.3529242424242424,0.6430621043430255,6.0,1,0.94,0.0,0.9247008562088012,0.1176478564739227,
2567,0.6461972150656361,ba_2motifs,binary,sa,0.4432631578947368,,,,,model,2.061165816645174,hard,8.0,0.8431647859143658,0.6589559689910597,gin,100,100,0.5175,mix,0.3889207459207459,0.6544436725555147,0.0019,0.6461972150656361,0.4432631578947368,0.5175,0.3889207459207459,0.6544436725555147,7.0,1,0.96,0.0,0.9367236495018004,0.0843641087412834,
2568,0.6556055545331861,ba_2motifs,binary,sa,0.4578794714057871,,,,,model,2.174128327902693,hard,9.0,0.823560384153662,0.6529611958733633,gin,100,100,0.5,mix,0.4237505827505828,0.6652335741013374,0.0019,0.6556055545331861,0.4578794714057871,0.5,0.4237505827505828,0.6652335741013374,8.0,1,0.96,0.0,0.9427685737609864,0.0721720904111862,
2569,0.6632555207949945,ba_2motifs,binary,sa,0.4681727837380011,,,,,model,2.276180232605721,hard,10.0,0.8039559823929562,0.6012500173993811,gin,100,100,0.483,mix,0.4558531468531467,0.6745880689485954,0.0019,0.6632555207949945,0.4681727837380011,0.483,0.4558531468531467,0.6745880689485954,9.0,1,0.97,0.0,0.9519188404083252,0.0547224506735801,
2570,0.6566554870568028,ba_2motifs,binary,sa,0.4560206098249575,,,,,model,2.3682506993535664,hard,11.0,0.784351580632253,0.599452011427516,gin,100,100,0.449090909090909,mix,0.4649557109557108,0.6725675637958531,0.0019,0.6566554870568028,0.4560206098249575,0.449090909090909,0.4649557109557108,0.6725675637958531,10.0,1,0.97,0.0,0.95380038022995,0.0497068017721176,
2571,0.6139910133725922,ba_2motifs,binary,sa,0.3964494126563093,,,,,model,2.735197868547346,hard,16.0,0.686329571828732,0.5706234163511894,gin,100,100,0.33125,mix,0.4959557109557109,0.654724079867501,0.0019,0.6500546098638204,0.4551184725097768,0.4354820179820179,0.4766223776223775,0.6680975141086983,15.0,1,0.99,0.0,0.9693987369537354,0.0295246224850416,
2572,0.5802071218255428,ba_2motifs,binary,sa,0.3654270527859237,,,,,model,3.0035954015937083,hard,21.0,0.5883075630252097,0.550681001673627,gin,100,100,0.2766666666666666,mix,0.5409405594405594,0.6428857992884309,0.0019,0.6500546098638204,0.4551184725097768,0.4354820179820179,0.4766223776223775,0.6680975141086983,20.0,1,0.98,0.0,0.9497023224830629,0.0236400142312049,
2573,0.5534176481413322,ba_2motifs,binary,sa,0.3488380688380688,,,,,model,3.2103231514863766,hard,26.0,0.4902855542216884,0.5327551851547989,gin,100,100,0.2469230769230768,mix,0.5974405594405594,0.6353077659182923,0.0019,0.6500546098638204,0.4551184725097768,0.4354820179820179,0.4766223776223775,0.6680975141086983,25.0,1,0.98,0.0,0.9491214752197266,0.0227934475988149,
