,balanced_acc,dataset,datatype,device,explainer,f1_score,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,num_explained_y_with_acc,precision,pred_type,recall,roc_auc_score,seed,time,top_balanced_acc,top_f1_score,top_precision,top_recall,top_roc_auc_score,topk
2167,0.4513060224089636,ieee24_mc,multiclass,cpu,pgexplainer,0.0114285714285714,0.06,0.8,0.0651395693421363,0.7492642998695374,phenomenon,1.8777296854229255,soft,7.98,0.8917717717717715,0.6116527796926604,transformer,100,100,0.01,mix,0.0133333333333333,0.4511099439775911,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,7.0
2168,0.444438025210084,ieee24_mc,multiclass,cpu,pgexplainer,0.0106666666666666,0.05,0.8,0.0607766807079315,0.7490029335021973,phenomenon,1.932734795953006,soft,8.96,0.8784834834834823,0.6090748287475848,transformer,100,100,0.0088888888888888,mix,0.0133333333333333,0.4443399859943977,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,8.0
2169,0.4375700280112045,ieee24_mc,multiclass,cpu,pgexplainer,0.01,0.04,0.79,0.0610604621469974,0.7490529417991638,phenomenon,1.9856295107439343,soft,9.94,0.8651951951951957,0.4304348147287426,transformer,100,100,0.008,mix,0.0133333333333333,0.4375700280112045,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,9.0
2170,0.4346786881419235,ieee24_mc,multiclass,cpu,pgexplainer,0.0141176470588235,0.04,0.79,0.0613649263978004,0.750383198261261,phenomenon,2.0135511171009184,soft,10.87,0.8525863363363381,0.429364624807429,transformer,100,100,0.0109090909090909,mix,0.0199999999999999,0.4342865312791784,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,10.0
2171,0.4317873482726423,ieee24_mc,multiclass,cpu,pgexplainer,0.0177777777777777,0.04,0.79,0.0629625990986824,0.7514126300811768,phenomenon,2.040919171924572,soft,11.8,0.839977477477478,0.3811878388401568,transformer,100,100,0.0133333333333333,mix,0.0266666666666666,0.4310030345471521,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,11.0
2172,0.4254768907563025,ieee24_mc,multiclass,cpu,pgexplainer,0.0168421052631578,0.04,0.79,0.0627940446138382,0.7544432282447815,phenomenon,2.0643046481543466,soft,12.7,0.827774024024023,0.380285470735147,transformer,100,100,0.0123076923076923,mix,0.0266666666666666,0.4248886554621848,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,12.0
2173,0.4191664332399626,ieee24_mc,multiclass,cpu,pgexplainer,0.016,0.05,0.79,0.0637055933475494,0.7576615214347839,phenomenon,2.0872852143687064,soft,13.6,0.815570570570571,0.1268301703768091,transformer,100,100,0.0114285714285714,mix,0.0266666666666666,0.4187742763772175,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,13.0
2174,0.4150901027077498,ieee24_mc,multiclass,cpu,pgexplainer,0.0152380952380952,0.06,0.8,0.0665702745318412,0.7551669478416443,phenomenon,2.100804923146691,soft,14.18,0.8077139639639639,0.1319294390856152,transformer,100,100,0.0106666666666666,mix,0.0266666666666666,0.4148940242763773,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,14.0
2175,0.4110137721755367,ieee24_mc,multiclass,cpu,pgexplainer,0.0145454545454545,0.05,0.79,0.0663825795054435,0.7545549273490906,phenomenon,2.1141444370909057,soft,14.76,0.7998573573573579,0.0923566484195878,transformer,100,100,0.01,mix,0.0266666666666666,0.4110137721755368,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,15.0
2176,0.409171802054155,ieee24_mc,multiclass,cpu,pgexplainer,0.0156521739130434,0.05,0.8,0.0653632804751396,0.7547929286956787,phenomenon,2.1239290105385726,soft,15.28,0.7928190690690703,0.0918859190398931,transformer,100,100,0.0105882352941176,mix,0.03,0.4089757236227824,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,16.0
2177,0.407329831932773,ieee24_mc,multiclass,cpu,pgexplainer,0.0166666666666666,0.05,0.8,0.0654181540012359,0.7548505663871765,phenomenon,2.1336192529875517,soft,15.8,0.7857807807807815,0.0869210179876897,transformer,100,100,0.0111111111111111,mix,0.0333333333333333,0.406937675070028,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,17.0
2178,0.4049404761904763,ieee24_mc,multiclass,cpu,pgexplainer,0.0162666666666666,0.05,0.8,0.0642120763659477,0.7552168965339661,phenomenon,2.14044739397262,soft,16.14,0.781174924924925,0.0871100057379078,transformer,100,100,0.0107602339181286,mix,0.0333333333333333,0.4046953781512605,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,18.0
2179,0.4025511204481793,ieee24_mc,multiclass,cpu,pgexplainer,0.0158974358974358,0.05,0.8,0.0638773590326309,0.7550775408744812,phenomenon,2.147208158928421,soft,16.48,0.7765690690690689,0.0854715953091209,transformer,100,100,0.0104444444444444,mix,0.0333333333333333,0.402453081232493,5,0.1549,0.4832934173669467,0.0123076923076923,0.0114285714285714,0.0133333333333333,0.4829992997198878,19.0
