,dataset,datatype,explainer,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,pred_type,time,topk,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device,seed
1077,mutag,binary,subgraphx,0.09,0.11,-0.0518330857157707,0.0829981416463851,phenomenon,1.7917594692280547,hard,6.0,0.8585520709971043,1.0,gat,100,mix,13.6786,5.0,,,,,,
1078,mutag,binary,subgraphx,0.1,0.11,-0.0553290843963623,0.0829981416463851,phenomenon,1.9428271354587696,hard,6.98,0.8355703648812376,1.0,gat,100,mix,13.6786,6.0,,,,,,
1079,mutag,binary,subgraphx,0.1,0.11,-0.0554680526256561,0.0829981416463851,phenomenon,2.073687900230804,hard,7.96,0.8125886587653703,1.0,gat,100,mix,13.6786,7.0,,,,,,
1080,mutag,binary,subgraphx,0.11,0.11,-0.060179091989994,0.0829981416463851,phenomenon,2.184403953747798,hard,8.9,0.7912095167520664,1.0,gat,100,mix,13.6786,8.0,,,,,,
1081,mutag,binary,subgraphx,0.11,0.11,-0.0606043525040149,0.0829981416463851,phenomenon,2.2834428384661547,hard,9.84,0.7698303747387633,1.0,gat,100,mix,13.6786,9.0,,,,,,
1082,mutag,binary,subgraphx,0.11,0.11,-0.0608023069798946,0.0829981416463851,phenomenon,2.3720813056841767,hard,10.77,0.7486236465185641,1.0,gat,100,mix,13.6786,10.0,,,,,,
1083,mutag,binary,subgraphx,0.11,0.11,-0.0570210106670856,0.0829981416463851,phenomenon,2.712121944363168,hard,15.3,0.6457757197032801,1.0,gat,100,mix,13.6786,15.0,,,,,,
1084,mutag,binary,subgraphx,0.11,0.11,-0.0565240830183029,0.0829981416463851,phenomenon,2.8144599610259844,hard,17.05,0.6063022576188937,1.0,gat,100,mix,13.6786,20.0,,,,,,
1085,mutag,binary,subgraphx,0.11,0.11,-0.0565240830183029,0.0829981416463851,phenomenon,2.814925161182333,hard,17.06,0.6060390997241568,1.0,gat,100,mix,13.6786,25.0,,,,,,
1086,mutag,binary,subgraphx,0.11,0.11,-0.0565240830183029,0.0829981416463851,phenomenon,2.814925161182333,hard,17.06,0.6060390997241568,1.0,gat,100,mix,13.6786,50.0,,,,,,
1087,mutag,binary,subgraphx,0.11,0.11,-0.0565240830183029,0.0829981416463851,phenomenon,2.814925161182333,hard,17.06,0.6060390997241568,1.0,gat,100,mix,13.6786,100.0,,,,,,
1088,mutag,binary,subgraphx,,,,,model,2.80428127887146,soft,16.88,0.615413821105876,1.0,gat,100,mix,13.8959,,0.06,0.07,0.0292076803743839,0.0518602803349494,,
1089,mutag,binary,subgraphx,,,,,model,0.6931471805599458,soft,2.0,0.9537571970832208,1.0,gat,100,mix,13.8959,1.0,0.03,0.08,0.0087748244404792,0.0585568957030773,,
1090,mutag,binary,subgraphx,,,,,model,1.0986122886681082,soft,3.0,0.930635795624832,1.0,gat,100,mix,13.8959,2.0,0.03,0.08,0.0098275728523731,0.0577803142368793,,
1091,mutag,binary,subgraphx,,,,,model,1.3862943611198917,soft,4.0,0.907514394166442,1.0,gat,100,mix,13.8959,3.0,0.03,0.08,0.0099629387259483,0.0580824054777622,,
1092,mutag,binary,subgraphx,,,,,model,1.6072064769209575,soft,4.99,0.8845715641366249,1.0,gat,100,mix,13.8959,4.0,0.03,0.08,0.0103367045521736,0.0582686625421047,,
1093,mutag,binary,subgraphx,,,,,model,1.787704818146973,soft,5.98,0.8616287341068067,1.0,gat,100,mix,13.8959,5.0,0.04,0.08,0.0121747003868222,0.058541864156723,,
1094,mutag,binary,subgraphx,,,,,model,1.9403139911759608,soft,6.97,0.8386859040769896,1.0,gat,100,mix,13.8959,6.0,0.03,0.08,0.0138407535851001,0.0577718205749988,,
1095,mutag,binary,subgraphx,,,,,model,2.07251006987424,soft,7.96,0.8157430740471711,1.0,gat,100,mix,13.8959,7.0,0.03,0.08,0.0146691156551241,0.0569504685699939,,
1096,mutag,binary,subgraphx,,,,,model,2.1867596144609256,soft,8.93,0.7935420022591115,1.0,gat,100,mix,13.8959,8.0,0.03,0.08,0.0174561385065317,0.056593619287014,,
1097,mutag,binary,subgraphx,,,,,model,2.288959314649017,soft,9.9,0.7713409304710518,1.0,gat,100,mix,13.8959,9.0,0.05,0.07,0.0224812012165784,0.0528914257884025,,
1098,mutag,binary,subgraphx,,,,,model,2.377597781867039,soft,10.83,0.7504772712704053,1.0,gat,100,mix,13.8959,10.0,0.06,0.07,0.02350465208292,0.0526537410914897,,
1099,mutag,binary,subgraphx,,,,,model,2.7063373305199865,soft,15.2,0.653253934203508,1.0,gat,100,mix,13.8959,15.0,0.06,0.07,0.0289714615792036,0.052320372313261,,
1100,mutag,binary,subgraphx,,,,,model,2.80428127887146,soft,16.88,0.615413821105876,1.0,gat,100,mix,13.8959,20.0,0.06,0.07,0.0292076803743839,0.0518602803349494,,
