dataset,threshold,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn1,0.9,pagerank,100.0,1.0,0.4911904761904761,0.335,1.0,0.6675,0.53,0.3,0.45442554354667664,0.2545420527458191,0.9990218281745911,4.02,0.0226,4110.0,0.00048661800486615725,4108.0
syn1,0.9,pgmexplainer,100.0,1.0,0.4718659396159396,0.3933333333333333,0.703295634920635,0.6961383601756955,0.33,0.52,0.3036000728607178,0.39016032218933105,0.997732400894165,9.32,5.4703,4110.0,0.8213333333333331,734.32
syn1,0.9,random,100.0,1.0,0.005707274004674903,0.18833333333333332,0.0028976193561676866,0.499716121685375,0.11,0.53,0.036989107728004456,0.443439245223999,0.8999757170677185,411.1,0.0,4110.0,0.00024330900243307862,4109.0
syn1,0.9,sa_node,100.0,1.0,0.014285714285714284,0.008333333333333333,0.05,0.031121278672523168,0.0,0.53,-0.01799768954515457,0.4879054129123688,0.056647203862667084,3877.18,0.0033,4110.0,0.00048661800486615725,4108.0
syn1,0.9,subgraphx,100.0,1.0,0.7983116883116882,0.795,0.8233571428571429,0.8973340653977551,0.45,0.18,0.4120316207408905,0.07792235165834427,0.997347891330719,10.9,0.9897,4110.0,0.9473479318734794,10.9
syn3,0.5,distance,100.0,1.0,0.36211064425770295,0.22583333333333336,0.9563333333333334,0.5564444883966244,0.0,0.0,-0.002415922237560153,0.01837414689362049,0.999439001083374,2.85,0.019,5080.0,0.009295275590551174,5032.78
syn3,0.5,gnnexplainer,100.0,1.0,0.5406763208856512,0.555,0.6904948443170221,0.6755711036392406,0.0,0.0,0.00012902259186375886,0.0016316712135449052,0.9762441515922546,120.68,2.5903,5080.0,0.9721535433070868,141.46
syn3,0.5,ig_node,100.0,1.0,0.0027444239316505347,0.29083333333333333,0.0013787170441718704,0.00045391613924049246,0.0,0.0,-0.004134370479732752,0.017718346789479256,0.004059054423123598,5059.38,0.1671,5080.0,0.0004921259842519365,5077.5
syn3,0.5,occlusion,100.0,1.0,0.14776321418703062,0.9816666666666667,0.1271404251141778,0.6087523074894515,0.0,0.0,-0.004416968673467636,0.017954638227820396,0.2576752305030823,3771.01,0.4884,5080.0,0.068255905511811,4733.26
syn3,0.5,pagerank,100.0,1.0,0.5900735294117647,0.4266666666666667,0.9705000000000001,0.7133061379219409,0.0,0.0,0.01837414689362049,-0.004013152327388525,0.9979291558265686,10.52,0.0276,5080.0,0.0006023622047243993,5076.94
syn3,0.5,pgmexplainer,100.0,1.0,0.5427168541522269,0.5358333333333334,0.6824932284637358,0.7632164754746836,0.0,0.0,0.01837414689362049,-0.0037106566596776247,0.987090528011322,65.58,5.3067,5080.0,0.9260590551181105,375.62
