dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn1,False,False,0.7,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.304,0.8130000000000001,0.25061614215373995,0.6712265849113465,0.7139552414417267,1175.643,3858.65,7.993792485648368,0.603389350679681,1175.643,6.832665628970254,0.6086353983806727,0.18001,4110.0,0.06115571776155711,3858.65
syn1,False,False,0.7,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.40099999999999997,0.739,0.35163911879062654,0.6545320749282837,0.700541353225708,1230.774,4100.994000000001,8.300095441263524,0.8710886593653772,1230.774,7.11160621090318,0.8820030815653684,0.6389199999999999,4110.0,0.002191240875912398,4100.994000000001
syn1,False,False,0.7,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.756,0.161,0.635320383310318,0.14955931529402733,0.6999997496604919,1233.0,2999.4900000000002,6.3512102193458455,0.0010065864767167848,1233.0,5.646207697968995,0.00471105124918011,0.02059,4110.0,0.27019708029197076,2999.4900000000002
syn1,False,False,0.7,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.78,0.17099999999999999,0.657709002494812,0.15918859392404555,0.8738953113555908,518.29,717.55,5.654700750232546,0.2522324544548111,518.29,5.568271271002404,0.28454685289151094,3.2703699999999998,4110.0,0.8254136253041361,717.55
syn1,False,False,0.7,random,100.0,-1.0,-1.0,-1.0,-1.0,0.449,0.7,0.3970897436141968,0.6355865240097046,0.6999997496604919,1233.0,4104.824,8.127549676648997,0.47130801128902167,1233.0,7.111976573360209,0.8348724102399977,0.0001,4110.0,0.001259367396593681,4104.824
syn1,False,False,0.7,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.088,0.9259999999999999,0.06739523205906153,0.7715882062911987,0.7060423374176026,1208.165,4008.4,8.16535544547301,0.8800923280178357,1208.165,6.974560650680732,0.8876566243099335,0.00385,4110.0,0.024720194647201925,4008.4
syn1,False,False,0.99,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.351,0.6769999999999999,0.31360294073820116,0.6173607587814331,0.991917735338211,33.218,240.33200000000002,3.364882217826151,0.2932537898731918,33.218,2.601566429183006,0.30705337946902633,3.5359000000000003,4110.0,0.9415250608272506,240.33200000000002
syn1,False,False,0.99,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.608,0.597,0.5449320852756501,0.5533604085445404,0.9900243282318115,41.0,4058.193,8.182582653402623,0.07770348901801463,41.0,3.5409617580927133,0.20808170634920634,0.01273,4110.0,0.012605109489051086,4058.193
syn1,False,False,0.99,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.35,0.642,0.31272009015083313,0.5961574256420136,0.991917735338211,33.218,240.33200000000002,3.352115696933775,0.2920290968674631,33.218,2.5875632110576063,0.3041878154983091,3.57263,4110.0,0.9415250608272506,240.33200000000002
syn1,False,False,0.99,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.297,0.812,0.2426273761317134,0.6710625767707825,0.990025544166565,40.995,3858.65,7.993792487997288,0.6033893442908067,40.995,3.599426159014544,0.6614493138402306,0.18728,4110.0,0.06115571776155711,3858.65
